SETTLEMENTDATE,BAU_cost,RL_cost,action,electricity_demand,electricity_price,new_charge,next_observation,next_state,observation,rate,reward,state,steps
2018-01-01 00:00:00,23.0,26.999999999999996,1.0,2.3,20.0,0.4,[ 20.           2.18802954],[ 20.           2.18802954   0.4       ],[ 20.    2.3],0.8,-26.999999999999996,[ 20.    2.3   0. ],0
2018-01-01 00:30:00,21.88029537,25.88029537,1.0,2.188029537,20.0,0.8,[ 20.          1.3432324],[ 20.          1.3432324   0.8      ],[ 20.           2.18802954],0.8,-25.88029537,[ 20.           2.18802954   0.4       ],1
2018-01-01 01:00:00,13.43232399,17.432323990000004,1.0,1.3432323990000001,20.0,1.2000000000000002,[ 20.           2.87777403],[ 20.           2.87777403   1.2       ],[ 20.          1.3432324],0.8000000000000003,-17.432323990000004,[ 20.          1.3432324   0.8      ],2
2018-01-01 01:30:00,28.777740270000002,32.77774027,1.0,2.877774027,20.0,1.6,[ 20.           2.64172202],[ 20.           2.64172202   1.6       ],[ 20.           2.87777403],0.7999999999999998,-32.77774027,[ 20.           2.87777403   1.2       ],3
2018-01-01 02:00:00,26.4172202,30.4172202,1.0,2.64172202,20.0,2.0,[ 20.           2.40841672],[ 20.           2.40841672   2.        ],[ 20.           2.64172202],0.7999999999999998,-30.4172202,[ 20.           2.64172202   1.6       ],4
2018-01-01 02:30:00,24.084167230000002,28.084167230000002,1.0,2.408416723,20.0,2.4,[ 20.           1.75049857],[ 20.           1.75049857   2.4       ],[ 20.           2.40841672],0.7999999999999998,-28.084167230000002,[ 20.           2.40841672   2.        ],5
2018-01-01 03:00:00,17.50498571,21.50498571,1.0,1.7504985709999998,20.0,2.8,[ 20.           1.88329273],[ 20.           1.88329273   2.8       ],[ 20.           1.75049857],0.7999999999999998,-21.50498571,[ 20.           1.75049857   2.4       ],6
2018-01-01 03:30:00,18.83292725,22.832927249999997,1.0,1.883292725,20.0,3.1999999999999997,[ 20.           1.08046544],[ 20.           1.08046544   3.2       ],[ 20.           1.88329273],0.7999999999999998,-22.832927249999997,[ 20.           1.88329273   2.8       ],7
2018-01-01 04:00:00,10.804654409999998,14.804654409999998,1.0,1.0804654409999999,20.0,3.5999999999999996,[ 20.           2.59997153],[ 20.           2.59997153   3.6       ],[ 20.           1.08046544],0.7999999999999998,-14.804654409999998,[ 20.           1.08046544   3.2       ],8
2018-01-01 04:30:00,25.999715280000004,29.99971528,1.0,2.599971528,20.0,3.9999999999999996,[ 20.           2.36643288],[ 20.           2.36643288   4.        ],[ 20.           2.59997153],0.7999999999999998,-29.99971528,[ 20.           2.59997153   3.6       ],9
2018-01-01 05:00:00,23.664328830000002,27.66432883000001,1.0,2.3664328830000003,20.0,4.4,[ 20.           2.47567197],[ 20.           2.47567197   4.4       ],[ 20.           2.36643288],0.8000000000000016,-27.66432883000001,[ 20.           2.36643288   4.        ],10
2018-01-01 05:30:00,24.756719710000002,28.756719710000006,1.0,2.475671971,20.0,4.800000000000001,[ 20.           1.90901908],[ 20.           1.90901908   4.8       ],[ 20.           2.47567197],0.8000000000000007,-28.756719710000006,[ 20.           2.47567197   4.4       ],11
2018-01-01 06:00:00,19.09019075,23.09019075,1.0,1.909019075,20.0,5.200000000000001,[ 20.           2.59531708],[ 20.           2.59531708   5.2       ],[ 20.           1.90901908],0.8000000000000007,-23.09019075,[ 20.           1.90901908   4.8       ],12
2018-01-01 06:30:00,25.95317079,29.95317079,1.0,2.595317079,20.0,5.600000000000001,[ 20.           2.61556064],[ 20.           2.61556064   5.6       ],[ 20.           2.59531708],0.8000000000000007,-29.95317079,[ 20.           2.59531708   5.2       ],13
2018-01-01 07:00:00,26.15560644,30.155606440000003,1.0,2.615560644,20.0,6.000000000000002,[ 20.           4.34140433],[ 20.           4.34140433   6.        ],[ 20.           2.61556064],0.8000000000000007,-30.155606440000003,[ 20.           2.61556064   5.6       ],14
