,C_electricity_price_[$/MWh]
15/11/2009 01:05,50
15/11/2009 01:10,50
15/11/2009 01:15,50
15/11/2009 01:20,50
15/11/2009 01:25,100
15/11/2009 01:30,100
15/11/2009 01:35,100
15/11/2009 01:40,100
15/11/2009 01:45,100
15/11/2009 01:50,-50
15/11/2009 01:55,-50
15/11/2009 02:00,-50
15/11/2009 02:05,-50
15/11/2009 02:10,50
15/11/2009 02:15,50
15/11/2009 02:20,50
15/11/2009 02:25,50
15/11/2009 02:30,100
15/11/2009 02:35,100
15/11/2009 02:40,100
15/11/2009 02:45,100
15/11/2009 02:50,100
15/11/2009 02:55,-50
15/11/2009 03:00,-50
15/11/2009 03:05,-50
15/11/2009 03:10,-50
15/11/2009 03:15,50
15/11/2009 03:20,50
15/11/2009 03:25,50
15/11/2009 03:30,50
15/11/2009 03:35,100
15/11/2009 03:40,100
15/11/2009 03:45,100
15/11/2009 03:50,100
15/11/2009 03:55,100
15/11/2009 04:00,-50
15/11/2009 04:05,-50
15/11/2009 04:10,-50
15/11/2009 04:15,-50
15/11/2009 04:20,50
15/11/2009 04:25,50
15/11/2009 04:30,50
15/11/2009 04:35,50
15/11/2009 04:40,100
15/11/2009 04:45,100
15/11/2009 04:50,100
15/11/2009 04:55,100
15/11/2009 05:00,100
15/11/2009 05:05,-50
15/11/2009 05:10,-50
15/11/2009 05:15,-50
15/11/2009 05:20,-50
15/11/2009 05:25,50
15/11/2009 05:30,50
15/11/2009 05:35,50
15/11/2009 05:40,50
15/11/2009 05:45,100
15/11/2009 05:50,100
15/11/2009 05:55,100
15/11/2009 06:00,100
15/11/2009 06:05,100
15/11/2009 06:10,-50
15/11/2009 06:15,-50
15/11/2009 06:20,-50
15/11/2009 06:25,-50
15/11/2009 06:30,50
15/11/2009 06:35,50
15/11/2009 06:40,50
15/11/2009 06:45,50
15/11/2009 06:50,100
15/11/2009 06:55,100
15/11/2009 07:00,100
15/11/2009 07:05,100
15/11/2009 07:10,100
15/11/2009 07:15,-50
15/11/2009 07:20,-50
15/11/2009 07:25,-50
15/11/2009 07:30,-50
15/11/2009 07:35,50
15/11/2009 07:40,50
15/11/2009 07:45,50
15/11/2009 07:50,50
15/11/2009 07:55,100
15/11/2009 08:00,100
15/11/2009 08:05,100
15/11/2009 08:10,100
15/11/2009 08:15,100
15/11/2009 08:20,-50
15/11/2009 08:25,-50
15/11/2009 08:30,-50
15/11/2009 08:35,-50
15/11/2009 08:40,50
15/11/2009 08:45,50
15/11/2009 08:50,50
15/11/2009 08:55,50
15/11/2009 09:00,100
15/11/2009 09:05,100
15/11/2009 09:10,100
15/11/2009 09:15,100
15/11/2009 09:20,100
15/11/2009 09:25,-50
15/11/2009 09:30,-50
15/11/2009 09:35,-50
15/11/2009 09:40,-50
15/11/2009 09:45,50
15/11/2009 09:50,50
15/11/2009 09:55,50
15/11/2009 10:00,50
15/11/2009 10:05,100
15/11/2009 10:10,100
15/11/2009 10:15,100
15/11/2009 10:20,100
15/11/2009 10:25,100
15/11/2009 10:30,-50
15/11/2009 10:35,-50
15/11/2009 10:40,-50
15/11/2009 10:45,-50
15/11/2009 10:50,50
15/11/2009 10:55,50
15/11/2009 11:00,50
15/11/2009 11:05,50
15/11/2009 11:10,100
15/11/2009 11:15,100
15/11/2009 11:20,100
15/11/2009 11:25,100
15/11/2009 11:30,100
15/11/2009 11:35,-50
15/11/2009 11:40,-50
15/11/2009 11:45,-50
15/11/2009 11:50,-50
15/11/2009 11:55,50
15/11/2009 12:00,50
15/11/2009 12:05,50
15/11/2009 12:10,50
15/11/2009 12:15,100
15/11/2009 12:20,100
15/11/2009 12:25,100
15/11/2009 12:30,100
15/11/2009 12:35,100
15/11/2009 12:40,-50
15/11/2009 12:45,-50
15/11/2009 12:50,-50
15/11/2009 12:55,-50
15/11/2009 13:00,50
15/11/2009 13:05,50
15/11/2009 13:10,50
15/11/2009 13:15,50
15/11/2009 13:20,100
15/11/2009 13:25,100
15/11/2009 13:30,100
15/11/2009 13:35,100
15/11/2009 13:40,100
15/11/2009 13:45,-50
15/11/2009 13:50,-50
15/11/2009 13:55,-50
15/11/2009 14:00,-50
15/11/2009 14:05,50
15/11/2009 14:10,50
15/11/2009 14:15,50
15/11/2009 14:20,50
15/11/2009 14:25,100
15/11/2009 14:30,100
15/11/2009 14:35,100
15/11/2009 14:40,100
15/11/2009 14:45,100
15/11/2009 14:50,-50
15/11/2009 14:55,-50
15/11/2009 15:00,-50
15/11/2009 15:05,-50
15/11/2009 15:10,50
15/11/2009 15:15,50
15/11/2009 15:20,50
15/11/2009 15:25,50
15/11/2009 15:30,100
15/11/2009 15:35,100
15/11/2009 15:40,100
15/11/2009 15:45,100
15/11/2009 15:50,100
15/11/2009 15:55,-50
15/11/2009 16:00,-50
15/11/2009 16:05,-50
15/11/2009 16:10,-50
15/11/2009 16:15,50
15/11/2009 16:20,50
15/11/2009 16:25,50
15/11/2009 16:30,50
15/11/2009 16:35,100
15/11/2009 16:40,100
15/11/2009 16:45,100
15/11/2009 16:50,100
15/11/2009 16:55,100
15/11/2009 17:00,-50
15/11/2009 17:05,-50
15/11/2009 17:10,-50
15/11/2009 17:15,-50
15/11/2009 17:20,50
15/11/2009 17:25,50
15/11/2009 17:30,50
15/11/2009 17:35,50
15/11/2009 17:40,100
15/11/2009 17:45,100
15/11/2009 17:50,100
15/11/2009 17:55,100
15/11/2009 18:00,100
15/11/2009 18:05,-50
15/11/2009 18:10,-50
15/11/2009 18:15,-50
15/11/2009 18:20,-50
15/11/2009 18:25,50
15/11/2009 18:30,50
15/11/2009 18:35,50
15/11/2009 18:40,50
15/11/2009 18:45,100
15/11/2009 18:50,100
15/11/2009 18:55,100
15/11/2009 19:00,100
15/11/2009 19:05,100
15/11/2009 19:10,-50
15/11/2009 19:15,-50
15/11/2009 19:20,-50
15/11/2009 19:25,-50
15/11/2009 19:30,50
15/11/2009 19:35,50
15/11/2009 19:40,50
15/11/2009 19:45,50
15/11/2009 19:50,100
15/11/2009 19:55,100
15/11/2009 20:00,100
15/11/2009 20:05,100
15/11/2009 20:10,100
15/11/2009 20:15,-50
15/11/2009 20:20,-50
15/11/2009 20:25,-50
15/11/2009 20:30,-50
15/11/2009 20:35,50
15/11/2009 20:40,50
15/11/2009 20:45,50
15/11/2009 20:50,50
15/11/2009 20:55,100
15/11/2009 21:00,100
15/11/2009 21:05,100
15/11/2009 21:10,100
15/11/2009 21:15,100
15/11/2009 21:20,-50
15/11/2009 21:25,-50
15/11/2009 21:30,-50
15/11/2009 21:35,-50
15/11/2009 21:40,50
15/11/2009 21:45,50
15/11/2009 21:50,50
15/11/2009 21:55,50
15/11/2009 22:00,100
15/11/2009 22:05,100
15/11/2009 22:10,100
15/11/2009 22:15,100
15/11/2009 22:20,100
15/11/2009 22:25,-50
15/11/2009 22:30,-50
15/11/2009 22:35,-50
