,action,electricity_price,episode,gross_rate,losses,net_stored,new_charge,next_observation,next_state,observation,old_charge,reward,state,steps
15/11/2009 01:05,[ 2.  0.],50.0,500,2.0,0.016666666666666663,0.15,0.15,[[  50.     50.     50.     50.    100.      0.15]],[[ 50.     0.15]],[[  50.   50.   50.   50.  100.    0.]],0.0,-8.333333333333332,[[ 50.   0.]],1
15/11/2009 01:10,[ 2.  0.],50.0,500,2.0,0.016666666666666663,0.15,0.3,[[  50.    50.    50.   100.   100.     0.3]],[[ 50.    0.3]],[[  50.     50.     50.     50.    100.      0.15]],0.15,-8.333333333333332,[[ 50.     0.15]],2
15/11/2009 01:15,[ 2.  0.],50.0,500,2.0,0.016666666666666663,0.15000000000000002,0.45,[[  50.     50.    100.    100.    100.      0.45]],[[ 50.     0.45]],[[  50.    50.    50.   100.   100.     0.3]],0.3,-8.333333333333332,[[ 50.    0.3]],3
15/11/2009 01:20,[ 1.79902523  1.65044469],50.0,500,0.14858054175658642,0.0012381711813048864,0.011143540631743998,0.461143540631744,"[[  50.          100.          100.          100.          100.
     0.46114354]]",[[ 50.           0.46114354]],[[  50.     50.    100.    100.    100.      0.45]],0.45,-0.6190855906524434,[[ 50.     0.45]],4
15/11/2009 01:25,[ 2.  0.],50.0,500,1.9999999999999996,0.01666666666666666,0.15000000000000002,0.611143540631744,"[[ 100.          100.          100.          100.          100.
     0.61114354]]",[[ 100.            0.61114354]],"[[  50.          100.          100.          100.          100.
     0.46114354]]",0.461143540631744,-8.333333333333332,[[ 50.           0.46114354]],5
15/11/2009 01:30,[ 1.95429953  1.1629257 ],100.0,500,0.7913738281126967,0.006594781900939138,0.0593530371084523,0.6704965777401963,"[[ 100.          100.          100.          100.          -50.
     0.67049658]]",[[ 100.            0.67049658]],"[[ 100.          100.          100.          100.          100.
     0.61114354]]",0.611143540631744,-6.5947819009391395,[[ 100.            0.61114354]],6
15/11/2009 01:35,[ 0.73684211  0.        ],100.0,500,0.7368421052631575,0.006140350877192978,0.05526315789473679,0.7257597356349331,"[[ 100.          100.          100.          -50.          -50.
     0.72575974]]",[[ 100.            0.72575974]],"[[ 100.          100.          100.          100.          -50.
     0.67049658]]",0.6704965777401963,-6.140350877192979,[[ 100.            0.67049658]],7
15/11/2009 01:40,[ 0.          1.47368421],100.0,500,-1.4736842105263164,0.0,-0.1228070175438597,0.6029527180910734,"[[ 100.          100.          -50.          -50.          -50.
     0.60295272]]",[[ 100.            0.60295272]],"[[ 100.          100.          100.          -50.          -50.
     0.72575974]]",0.7257597356349331,12.28070175438597,[[ 100.            0.72575974]],8
15/11/2009 01:45,[ 0.          1.36842105],100.0,500,-1.3684210526315785,0.0,-0.11403508771929821,0.4889176303717752,"[[ 100.          -50.          -50.          -50.          -50.
     0.48891763]]",[[ 100.            0.48891763]],"[[ 100.          100.          -50.          -50.          -50.
     0.60295272]]",0.6029527180910734,11.403508771929822,[[ 100.            0.60295272]],9
15/11/2009 01:50,[ 0.21052632  0.        ],100.0,500,0.21052631578947367,0.00175438596491228,0.01578947368421052,0.5047071040559857,[[-50.        -50.        -50.        -50.         50.          0.5047071]],[[-50.          0.5047071]],"[[ 100.          -50.          -50.          -50.          -50.
     0.48891763]]",0.4889176303717752,-1.7543859649122806,[[ 100.            0.48891763]],10
15/11/2009 01:55,[ 0.42105263  0.10526316],-50.0,500,0.3157894736842102,0.0026315789473684175,0.023684210526315752,0.5283913145823015,[[-50.         -50.         -50.          50.          50.           0.52839131]],[[-50.           0.52839131]],[[-50.        -50.        -50.        -50.         50.          0.5047071]],0.5047071040559857,1.315789473684209,[[-50.          0.5047071]],11
15/11/2009 02:00,[ 2.  0.],-50.0,500,1.9999999999999996,0.01666666666666666,0.15000000000000002,0.6783913145823015,[[-50.         -50.          50.          50.          50.           0.67839131]],[[-50.           0.67839131]],[[-50.         -50.         -50.          50.          50.           0.52839131]],0.5283913145823015,8.333333333333332,[[-50.           0.52839131]],12
15/11/2009 02:05,[ 2.  0.],-50.0,500,1.9999999999999996,0.01666666666666666,0.15000000000000002,0.8283913145823015,[[-50.          50.          50.          50.          50.           0.82839131]],[[-50.           0.82839131]],[[-50.         -50.          50.          50.          50.           0.67839131]],0.6783913145823015,8.333333333333332,[[-50.           0.67839131]],13
