episode,action,next_observation,observation,reward,step
1,[[ 0.37381181  0.92708171]],[[ 50.   0.]],[[ 50.   0.]],-0.0,0
1,[[ 0.44768693  1.65446946]],[[ 50.   0.]],[[ 50.   0.]],-0.0,1
1,[[ 1.79694558  1.30978558]],[[  5.00000000e+01   3.65370005e-02]],[[ 50.   0.]],-2.029833358464554,2
1,[[ 0.06387506  1.71119407]],[[ 50.   0.]],[[  5.00000000e+01   3.65370005e-02]],1.8268500226180984,3
1,[[ 0.601129   1.8144978]],[[ 100.    0.]],[[ 50.   0.]],-0.0,4
1,[[ 1.50561622  0.1967581 ]],[[  1.00000000e+02   9.81643583e-02]],[[ 100.    0.]],-10.907150925748528,5
1,[[ 0.14842021  0.97654645]],[[  1.00000000e+02   2.91538380e-02]],[[  1.00000000e+02   9.81643583e-02]],6.901052034085082,6
1,[[ 0.843035    1.13501668]],[[  1.00000000e+02   4.82203115e-03]],[[  1.00000000e+02   2.91538380e-02]],2.4331806837586583,7
1,[[ 1.92365912  0.15299778]],[[ 100.            0.13762163]],[[  1.00000000e+02   4.82203115e-03]],-14.75551116055576,8
1,[[ 1.02685998  0.79622772]],[[-50.           0.15491905]],[[ 100.            0.13762163]],-1.9219354874301127,9
1,[[ 1.57871278  0.90951129]],[[-50.           0.20510916]],[[-50.           0.15491905]],2.78833955774329,10
1,[[ 1.70025387  1.78955311]],[[-50.           0.19766756]],[[-50.           0.20510916]],-0.37208012716067607,11
1,[[ 1.49918834  0.66066868]],[[-50.           0.26055654]],[[-50.           0.19766756]],3.4938319206793205,12
1,[[ 0.43324454  0.11859198]],[[ 50.           0.28415548]],[[-50.           0.26055654]],1.311052348916314,13
1,[[ 1.43634871  1.93905216]],[[ 50.           0.24226352]],[[ 50.           0.28415548]],2.0945976920237546,14
1,[[ 1.66955841  1.53819105]],[[ 50.           0.25211608]],[[ 50.           0.24226352]],-0.5473639851730452,15
1,[[ 1.7096611   1.12188284]],[[ 50.           0.29619944]],[[ 50.           0.25211608]],-2.449076082105786,16
1,[[ 0.59719494  1.46649243]],[[ 100.            0.22375799]],[[ 50.           0.29619944]],3.6220728832330407,17
1,[[ 1.12097789  1.41671192]],[[ 100.            0.19911349]],[[ 100.            0.22375799]],2.4644501971761046,18
1,[[ 1.36109117  0.89273766]],[[ 100.         0.23424]],[[ 100.            0.19911349]],-3.9029459498434087,19
1,[[ 0.34513097  1.50604669]],[[ 100.            0.13749702]],[[ 100.         0.23424]],9.674297627098746,20
1,[[ 1.90532754  0.93700236]],[[ 100.            0.21012141]],[[ 100.            0.13749702]],-8.069376533836436,21
1,[[ 1.92070121  0.22530658]],[[-50.           0.33727601]],[[ 100.            0.21012141]],-14.128288621548023,22
1,[[ 0.98118363  0.63296221]],[[-50.           0.36339261]],[[-50.           0.33727601]],1.450922551497702,23
1,[[ 1.55367685  1.14105159]],[[-50.           0.39433951]],[[-50.           0.36339261]],1.7192719447857856,24
1,[[ 1.6185326   1.86982098]],[[-50.           0.37339881]],[[-50.           0.39433951]],-1.0470348953726283,25
1,[[ 0.24898159  0.60673528]],[[ 50.         0.343586]],[[-50.           0.37339881]],-1.4906403613383024,26
1,[[ 1.29763088  0.21225437]],[[ 50.           0.42498924]],[[ 50.         0.343586]],-4.5224021199809785,27
1,[[ 0.57922421  1.57156866]],[[ 50.           0.34229387]],[[ 50.           0.42498924]],4.134768512934192,28
1,[[ 1.48008882  0.22053381]],[[ 50.          0.4367605]],[[ 50.           0.34229387]],-5.2481458614779095,29
1,[[ 0.50916855  1.27531409]],[[ 100.            0.37291504]],[[ 50.          0.4367605]],3.1922730482721926,30
