,action,electricity_price,episode,gross_rate,losses,net_stored,new_charge,next_observation,next_state,observation,old_charge,reward,state,steps
15/11/2009 01:05,[ 1.81936156  1.18704171],50.0,200,0.6323198571708051,0.005269332143090041,0.04742398928781038,0.04742398928781038,[[  5.00000000e+01   4.74239893e-02]],[[  5.00000000e+01   4.74239893e-02]],[[ 50.   0.]],0.0,-2.634666071545021,[[ 50.   0.]],1
15/11/2009 01:10,[ 1.41792417  0.55860484],50.0,200,0.8593193300633466,0.007160994417194554,0.06444894975475099,0.11187293904256138,[[ 50.           0.11187294]],[[ 50.           0.11187294]],[[  5.00000000e+01   4.74239893e-02]],0.04742398928781038,-3.5804972085972775,[[  5.00000000e+01   4.74239893e-02]],2
15/11/2009 01:15,[ 1.77329124  0.54470987],50.0,200,1.2285813730713246,0.010238178108927702,0.09214360298034935,0.20401654202291072,[[ 50.           0.20401654]],[[ 50.           0.20401654]],[[ 50.           0.11187294]],0.11187293904256138,-5.119089054463853,[[ 50.           0.11187294]],3
15/11/2009 01:20,[ 0.05813483  0.04128117],50.0,200,0.016853656016702856,0.00014044713347252378,0.0012640242012527114,0.20528056622416344,[[ 50.           0.20528057]],[[ 50.           0.20528057]],[[ 50.           0.20401654]],0.20401654202291072,-0.0702235667362619,[[ 50.           0.20401654]],4
15/11/2009 01:25,[ 1.64512758  0.6669189 ],50.0,200,0.9782086796713688,0.008151738997261406,0.07336565097535266,0.2786462171995161,[[ 100.            0.27864622]],[[ 100.            0.27864622]],[[ 50.           0.20528057]],0.20528056622416344,-4.075869498630704,[[ 50.           0.20528057]],5
15/11/2009 01:30,[ 1.96266876  0.29781632],100.0,200,1.664852437853011,0.013873770315441755,0.12486393283897584,0.40351015003849194,[[ 100.            0.40351015]],[[ 100.            0.40351015]],[[ 100.            0.27864622]],0.2786462171995161,-13.873770315441758,[[ 100.            0.27864622]],6
15/11/2009 01:35,[ 1.2672958   0.74185657],100.0,200,0.5254392306963789,0.004378660255803157,0.03940794230222844,0.4429180923407204,[[ 100.            0.44291809]],[[ 100.            0.44291809]],[[ 100.            0.40351015]],0.40351015003849194,-4.378660255803157,[[ 100.            0.40351015]],7
15/11/2009 01:40,[ 1.41153793  0.11335831],100.0,200,1.2981796289153424,0.010818163574294519,0.09736347216865066,0.540281564509371,[[ 100.            0.54028156]],[[ 100.            0.54028156]],[[ 100.            0.44291809]],0.4429180923407204,-10.81816357429452,[[ 100.            0.44291809]],8
15/11/2009 01:45,[ 1.21553422  0.6225416 ],100.0,200,0.5929926218068355,0.004941605181723628,0.0444744466355127,0.5847560111448837,[[ 100.            0.58475601]],[[ 100.            0.58475601]],[[ 100.            0.54028156]],0.540281564509371,-4.941605181723629,[[ 100.            0.54028156]],9
15/11/2009 01:50,[ 0.53148804  0.78590254],100.0,200,-0.25441450251472375,0.0,-0.021201208542893646,0.5635548026019901,[[-50.          0.5635548]],[[-50.          0.5635548]],[[ 100.            0.58475601]],0.5847560111448837,2.1201208542893646,[[ 100.            0.58475601]],10
15/11/2009 01:55,[ 1.93385456  1.98579246],-50.0,200,-0.05193790250314034,0.0,-0.004328158541928362,0.5592266440600617,[[-50.           0.55922664]],[[-50.           0.55922664]],[[-50.          0.5635548]],0.5635548026019901,-0.2164079270964181,[[-50.          0.5635548]],11
15/11/2009 02:00,[ 1.30929402  0.22848438],-50.0,200,1.0808096378163299,0.009006746981802748,0.08106072283622479,0.6402873668962865,[[-50.           0.64028737]],[[-50.           0.64028737]],[[-50.           0.55922664]],0.5592266440600617,4.5033734909013745,[[-50.           0.55922664]],12
15/11/2009 02:05,[ 1.92452551  1.49470114],-50.0,200,0.4298243619040947,0.0035818696825341213,0.03223682714280707,0.6725241940390936,[[-50.           0.67252419]],[[-50.           0.67252419]],[[-50.           0.64028737]],0.6402873668962865,1.7909348412670612,[[-50.           0.64028737]],13
15/11/2009 02:10,[ 1.17204138  1.29296042],-50.0,200,-0.12091904374982176,0.0,-0.010076586979151814,0.6624476070599418,[[ 50.           0.66244761]],[[ 50.           0.66244761]],[[-50.           0.67252419]],0.6725241940390936,-0.5038293489575907,[[-50.           0.67252419]],14
15/11/2009 02:15,[ 1.22005247  1.03461681],50.0,200,0.1854356597291691,0.001545297164409742,0.01390767447968766,0.6763552815396294,[[ 50.           0.67635528]],[[ 50.           0.67635528]],[[ 50.           0.66244761]],0.6624476070599418,-0.7726485822048712,[[ 50.           0.66244761]],15
15/11/2009 02:20,[ 0.39938784  1.91055918],50.0,200,-1.5111713390500827,0.0,-0.12593094492084023,0.5504243366187892,[[ 50.           0.55042434]],[[ 50.           0.55042434]],[[ 50.           0.67635528]],0.6763552815396294,6.296547246042011,[[ 50.           0.67635528]],16
15/11/2009 02:25,[ 1.28220472  0.3851869 ],50.0,200,0.8970178215454485,0.007475148512878736,0.0672763366159086,0.6177006732346978,[[ 50.           0.61770067]],[[ 50.           0.61770067]],[[ 50.           0.55042434]],0.5504243366187892,-3.737574256439369,[[ 50.           0.55042434]],17
15/11/2009 02:30,[ 0.06296227  0.40465986],50.0,200,-0.3416975955925685,0.0,-0.028474799632714043,0.5892258736019838,[[ 100.            0.58922587]],[[ 100.            0.58922587]],[[ 50.           0.61770067]],0.6177006732346978,1.4237399816357021,[[ 50.           0.61770067]],18
15/11/2009 02:35,[ 0.65461047  0.8957519 ],100.0,200,-0.2411414283718858,0.0,-0.020095119030990483,0.5691307545709933,[[ 100.            0.56913075]],[[ 100.            0.56913075]],[[ 100.            0.58922587]],0.5892258736019838,2.0095119030990483,[[ 100.            0.58922587]],19
15/11/2009 02:40,[ 1.07401204  0.02595035],100.0,200,1.0480616876365887,0.008733847396971571,0.07860462657274414,0.6477353811437374,[[ 100.            0.64773538]],[[ 100.            0.64773538]],[[ 100.            0.56913075]],0.5691307545709933,-8.733847396971573,[[ 100.            0.56913075]],20
15/11/2009 02:45,[ 0.88989759  1.35749904],100.0,200,-0.46760145003446896,0.0,-0.03896678750287241,0.608768593640865,[[ 100.            0.60876859]],[[ 100.            0.60876859]],[[ 100.            0.64773538]],0.6477353811437374,3.8966787502872413,[[ 100.            0.64773538]],21
15/11/2009 02:50,[ 1.49865183  1.19036712],100.0,200,0.30828471491997167,0.0025690392909997633,0.02312135361899792,0.6318899472598629,[[ 100.            0.63188995]],[[ 100.            0.63188995]],[[ 100.            0.60876859]],0.608768593640865,-2.569039290999764,[[ 100.            0.60876859]],22
15/11/2009 02:55,[ 1.58124685  0.48879413],100.0,200,1.0924527179888832,0.009103772649907358,0.08193395384916624,0.7138239011090292,[[-50.          0.7138239]],[[-50.          0.7138239]],[[ 100.            0.63188995]],0.6318899472598629,-9.10377264990736,[[ 100.            0.63188995]],23
15/11/2009 03:00,[ 0.5739382   0.99099495],-50.0,200,-0.4170567440994559,0.0,-0.03475472867495466,0.6790691724340745,[[-50.           0.67906917]],[[-50.           0.67906917]],[[-50.          0.7138239]],0.7138239011090292,-1.737736433747733,[[-50.          0.7138239]],24
15/11/2009 03:05,[ 1.98270611  1.51314502],-50.0,200,0.4695610963311725,0.003913009136093103,0.03521708222483799,0.7142862546589125,[[-50.           0.71428625]],[[-50.           0.71428625]],[[-50.           0.67906917]],0.6790691724340745,1.956504568046552,[[-50.           0.67906917]],25
15/11/2009 03:10,[ 1.06360444  1.71030261],-50.0,200,-0.6466981747914131,0.0,-0.05389151456595109,0.6603947400929614,[[-50.           0.66039474]],[[-50.           0.66039474]],[[-50.           0.71428625]],0.7142862546589125,-2.6945757282975547,[[-50.           0.71428625]],26
15/11/2009 03:15,[ 1.67455994  1.57468638],-50.0,200,0.09987355758895822,0.0008322796465746516,0.0074905168191719,0.6678852569121333,[[ 50.           0.66788526]],[[ 50.           0.66788526]],[[-50.           0.66039474]],0.6603947400929614,0.4161398232873259,[[-50.           0.66039474]],27
15/11/2009 03:20,[ 0.0584426   1.04379555],50.0,200,-0.9853529449777927,0.0,-0.08211274541481606,0.5857725114973172,[[ 50.           0.58577251]],[[ 50.           0.58577251]],[[ 50.           0.66788526]],0.6678852569121333,4.105637270740803,[[ 50.           0.66788526]],28
15/11/2009 03:25,[ 1.40026209  0.68394977],50.0,200,0.7163123133022209,0.005969269277518507,0.05372342349766657,0.6394959349949838,[[ 50.           0.63949593]],[[ 50.           0.63949593]],[[ 50.           0.58577251]],0.5857725114973172,-2.9846346387592537,[[ 50.           0.58577251]],29
15/11/2009 03:30,[ 1.75248601  1.99079064],50.0,200,-0.23830463343810093,0.0,-0.019858719453175078,0.6196372155418087,[[ 50.           0.61963722]],[[ 50.           0.61963722]],[[ 50.           0.63949593]],0.6394959349949838,0.9929359726587539,[[ 50.           0.63949593]],30
15/11/2009 03:35,[ 0.56159237  0.54836842],50.0,200,0.013223953890028728,0.00011019961575023938,0.000991796541752188,0.6206290120835609,[[ 100.            0.62062901]],[[ 100.            0.62062901]],[[ 50.           0.61963722]],0.6196372155418087,-0.0550998078751197,[[ 50.           0.61963722]],31
15/11/2009 03:40,[ 0.85465549  1.54416919],100.0,200,-0.6895136976852427,0.0,-0.05745947480710356,0.5631695372764574,[[ 100.            0.56316954]],[[ 100.            0.56316954]],[[ 100.            0.62062901]],0.6206290120835609,5.745947480710356,[[ 100.            0.62062901]],32
15/11/2009 03:45,[ 0.70915596  1.11045801],100.0,200,-0.4013020484048835,0.0,-0.033441837367073624,0.5297276999093837,[[ 100.           0.5297277]],[[ 100.           0.5297277]],[[ 100.            0.56316954]],0.5631695372764574,3.3441837367073624,[[ 100.            0.56316954]],33
15/11/2009 03:50,[ 1.87236666  1.94694402],100.0,200,-0.07457735769009677,0.0,-0.006214779807508064,0.5235129201018757,[[ 100.            0.52351292]],[[ 100.            0.52351292]],[[ 100.           0.5297277]],0.5297276999093837,0.6214779807508064,[[ 100.           0.5297277]],34
15/11/2009 03:55,[ 0.67024976  0.89045788],100.0,200,-0.22020812122225575,0.0,-0.018350676768521312,0.5051622433333544,[[ 100.            0.50516224]],[[ 100.            0.50516224]],[[ 100.            0.52351292]],0.5235129201018757,1.8350676768521312,[[ 100.            0.52351292]],35
15/11/2009 04:00,[ 1.5020268   0.84074661],100.0,200,0.6612801872755814,0.00551066822729651,0.0495960140456686,0.554758257379023,[[-50.           0.55475826]],[[-50.           0.55475826]],[[ 100.            0.50516224]],0.5051622433333544,-5.510668227296511,[[ 100.            0.50516224]],36
15/11/2009 04:05,[ 0.06896485  0.95029886],-50.0,200,-0.8813340176825044,0.0,-0.07344450147354203,0.4813137559054809,[[-50.           0.48131376]],[[-50.           0.48131376]],[[-50.           0.55475826]],0.554758257379023,-3.672225073677102,[[-50.           0.55475826]],37
