tempus_interval_time,C_forecast_electricity_price_current_hh [$/MWh],C_forecast_electricity_price_next_hh [$/MWh],C_minute
2018-05-24 23:05:00,86.08,125.53,5
2018-05-24 23:10:00,86.08,125.53,10
2018-05-24 23:15:00,86.08,125.53,15
2018-05-24 23:20:00,86.08,125.53,20
2018-05-24 23:25:00,86.08,125.53,25
2018-05-24 23:30:00,125.53,84.91,30
2018-05-24 23:35:00,125.53,84.91,35
2018-05-24 23:40:00,125.53,84.91,40
2018-05-24 23:45:00,125.53,84.91,45
2018-05-24 23:50:00,125.53,84.91,50
2018-05-24 23:55:00,125.53,84.91,55
2018-05-25 00:00:00,84.91,79.62,0
2018-05-25 00:05:00,84.91,79.62,5
2018-05-25 00:10:00,84.91,79.62,10
2018-05-25 00:15:00,84.91,79.62,15
2018-05-25 00:20:00,84.91,79.62,20
2018-05-25 00:25:00,84.91,79.62,25
2018-05-25 00:30:00,79.62,68.4,30
2018-05-25 00:35:00,79.62,68.4,35
2018-05-25 00:40:00,79.62,68.4,40
2018-05-25 00:45:00,79.62,68.4,45
2018-05-25 00:50:00,79.62,68.4,50
2018-05-25 00:55:00,79.62,68.4,55
2018-05-25 01:00:00,68.4,64.86,0
2018-05-25 01:05:00,68.4,64.86,5
2018-05-25 01:10:00,68.4,64.86,10
2018-05-25 01:15:00,68.4,64.86,15
2018-05-25 01:20:00,68.4,64.86,20
2018-05-25 01:25:00,68.4,64.86,25
2018-05-25 01:30:00,64.86,55.74,30
2018-05-25 01:35:00,64.86,55.74,35
2018-05-25 01:40:00,64.86,55.74,40
2018-05-25 01:45:00,64.86,55.74,45
2018-05-25 01:50:00,64.86,55.74,50
2018-05-25 01:55:00,64.86,55.74,55
2018-05-25 02:00:00,55.74,55.5,0
2018-05-25 02:05:00,55.74,55.5,5
2018-05-25 02:10:00,55.74,55.5,10
2018-05-25 02:15:00,55.74,55.5,15
2018-05-25 02:20:00,55.74,55.5,20
2018-05-25 02:25:00,55.74,55.5,25
2018-05-25 02:30:00,55.5,54.28,30
2018-05-25 02:35:00,55.5,54.28,35
2018-05-25 02:40:00,55.5,54.28,40
2018-05-25 02:45:00,55.5,54.28,45
2018-05-25 02:50:00,55.5,54.28,50
2018-05-25 02:55:00,55.5,54.28,55
2018-05-25 03:00:00,54.28,53.22,0
2018-05-25 03:05:00,54.28,53.22,5
2018-05-25 03:10:00,54.28,53.22,10
2018-05-25 03:15:00,54.28,53.22,15
2018-05-25 03:20:00,54.28,53.22,20
2018-05-25 03:25:00,54.28,53.22,25
2018-05-25 03:30:00,53.22,54.36,30
2018-05-25 03:35:00,53.22,54.36,35
2018-05-25 03:40:00,53.22,54.36,40
2018-05-25 03:45:00,53.22,54.36,45
2018-05-25 03:50:00,53.22,54.36,50
2018-05-25 03:55:00,53.22,54.36,55
2018-05-25 04:00:00,54.36,56.26,0
2018-05-25 04:05:00,54.36,56.26,5
2018-05-25 04:10:00,54.36,56.26,10
2018-05-25 04:15:00,54.36,56.26,15
2018-05-25 04:20:00,54.36,56.26,20
2018-05-25 04:25:00,54.36,56.26,25
2018-05-25 04:30:00,56.26,56.46,30
2018-05-25 04:35:00,56.26,56.46,35
2018-05-25 04:40:00,56.26,56.46,40
2018-05-25 04:45:00,56.26,56.46,45
2018-05-25 04:50:00,56.26,56.46,50
2018-05-25 04:55:00,56.26,56.46,55
2018-05-25 05:00:00,56.46,63.7,0
2018-05-25 05:05:00,56.46,63.7,5
2018-05-25 05:10:00,56.46,63.7,10
2018-05-25 05:15:00,56.46,63.7,15
2018-05-25 05:20:00,56.46,63.7,20
2018-05-25 05:25:00,56.46,63.7,25
2018-05-25 05:30:00,63.7,87.55,30
2018-05-25 05:35:00,63.7,87.55,35
2018-05-25 05:40:00,63.7,87.55,40
2018-05-25 05:45:00,63.7,87.55,45
2018-05-25 05:50:00,63.7,87.55,50
2018-05-25 05:55:00,63.7,87.55,55
2018-05-25 06:00:00,87.55,156.69,0
2018-05-25 06:05:00,87.55,156.69,5
2018-05-25 06:10:00,87.55,156.69,10
2018-05-25 06:15:00,87.55,156.69,15
2018-05-25 06:20:00,87.55,156.69,20
2018-05-25 06:25:00,87.55,156.69,25
2018-05-25 06:30:00,156.69,88.57,30
2018-05-25 06:35:00,156.69,88.57,35
2018-05-25 06:40:00,156.69,88.57,40
2018-05-25 06:45:00,156.69,88.57,45
2018-05-25 06:50:00,156.69,88.57,50
2018-05-25 06:55:00,156.69,88.57,55
2018-05-25 07:00:00,88.57,108.83,0
2018-05-25 07:05:00,88.57,108.83,5
2018-05-25 07:10:00,88.57,108.83,10
2018-05-25 07:15:00,88.57,108.83,15
2018-05-25 07:20:00,88.57,108.83,20
2018-05-25 07:25:00,88.57,108.83,25
2018-05-25 07:30:00,108.83,94.5,30
2018-05-25 07:35:00,108.83,94.5,35
2018-05-25 07:40:00,108.83,94.5,40
2018-05-25 07:45:00,108.83,94.5,45
2018-05-25 07:50:00,108.83,94.5,50
2018-05-25 07:55:00,108.83,94.5,55
2018-05-25 08:00:00,94.5,92.66,0
2018-05-25 08:05:00,94.5,92.66,5
