,action,discounted_return,observation,reward,scaled_reward,step
2009-11-15 01:05:00,[ 2.  0.],12.220642268397532,[ 24.27  10.    11.    15.     1.     5.     6.     0.  ],-23.8655,0.12350840625,0
2009-11-15 01:10:00,[ 2.  0.],12.219327133482384,[ 24.27  10.    11.    15.     1.     5.     6.     0.15],-23.8655,0.12350840625,1
2009-11-15 01:15:00,[ 2.  0.],12.21799871437611,[ 24.27  10.    11.    15.     1.    10.     6.     0.3 ],-23.8655,0.12350840625,2
2009-11-15 01:20:00,[ 2.  0.],12.216656876895064,[ 24.27  10.    11.    15.     1.    15.     6.     0.45],-23.8655,0.12350840625,3
2009-11-15 01:25:00,[ 2.  0.],12.215301485500067,[ 24.27  10.    11.    15.     1.    20.     6.     0.6 ],-23.8655,0.12350840625,4
2009-11-15 01:30:00,[ 2.  0.],12.213932403282913,[ 24.27  10.    11.    15.     1.    25.     6.     0.75],-23.8655,0.12350840625,5
2009-11-15 01:35:00,[ 2.  0.],12.21254949195244,[ 22.78  10.    11.    15.     1.    30.     6.     0.9 ],-22.400333333333336,0.12359997916666667,6
2009-11-15 01:40:00,[ 2.  0.],12.21106011392503,[ 22.78  10.    11.    15.     1.    35.     6.     1.05],-22.400333333333336,0.12359997916666667,7
2009-11-15 01:45:00,[ 2.  0.],12.209555691675128,[ 22.78  10.    11.    15.     1.    40.     6.     1.2 ],-22.400333333333336,0.12359997916666667,8
2009-11-15 01:50:00,[ 2.  0.],12.208036073240864,[ 22.78  10.    11.    15.     1.    45.     6.     1.35],-22.400333333333336,0.12359997916666667,9
2009-11-15 01:55:00,[ 2.  0.],12.20650110512546,[ 22.78  10.    11.    15.     1.    50.     6.     1.5 ],-22.400333333333336,0.12359997916666667,10
2009-11-15 02:00:00,[ 2.  0.],12.2049506322816,[ 22.78  10.    11.    15.     1.    55.     6.     1.65],-22.400333333333336,0.12359997916666667,11
2009-11-15 02:05:00,[ 2.  0.],12.203384498095895,[ 18.16  10.    11.    15.     2.     0.     6.     1.8 ],-17.857333333333333,0.12388391666666666,12
2009-11-15 02:10:00,[ 2.  0.],12.201515738817372,[ 18.16  10.    11.    15.     2.     5.     6.     1.95],-17.857333333333333,0.12388391666666666,13
2009-11-15 02:15:00,[ 2.  0.],12.199628103182512,[ 18.16  10.    11.    15.     2.    10.     6.     2.1 ],-17.857333333333333,0.12388391666666666,14
2009-11-15 02:20:00,[ 2.  0.],12.19772140052106,[ 18.16  10.    11.    15.     2.    15.     6.     2.25],-17.857333333333333,0.12388391666666666,15
2009-11-15 02:25:00,[ 2.  0.],12.195795438236786,[ 18.16  10.    11.    15.     2.    20.     6.     2.4 ],-17.857333333333333,0.12388391666666666,16
2009-11-15 02:30:00,[ 2.  0.],12.193850021788,[ 18.16  10.    11.    15.     2.    25.     6.     2.55],-17.857333333333333,0.12388391666666666,17
2009-11-15 02:35:00,[ 2.  0.],12.19188495466801,[ 14.28  10.    11.    15.     2.    30.     6.     2.7 ],-14.042,0.12412237500000001,18
2009-11-15 02:40:00,[ 2.  0.],12.189659171381855,[ 14.28  10.    11.    15.     2.    35.     6.     2.85],-14.042,0.12412237500000001,19
2009-11-15 02:45:00,[ 2.  0.],12.18741090543625,[ 14.28  10.    11.    15.     2.    40.     6.     3.  ],-14.042,0.12412237500000001,20
2009-11-15 02:50:00,[ 2.  0.],12.185139929733577,[ 14.28  10.    11.    15.     2.    45.     6.     3.15],-14.042,0.12412237500000001,21
2009-11-15 02:55:00,[ 2.  0.],12.182846014882394,[ 14.28  10.    11.    15.     2.    50.     6.     3.3 ],-14.042,0.12412237500000001,22
2009-11-15 03:00:00,[ 2.  0.],12.180528929174113,[ 14.28  10.    11.    15.     2.    55.     6.     3.45],-14.042,0.12412237500000001,23
2009-11-15 03:05:00,[ 2.  0.],12.178188438559712,[ 12.2  10.   11.   15.    3.    0.    6.    3.6],-11.996666666666666,0.12425020833333333,24
2009-11-15 03:10:00,[ 2.  0.],12.17569518204684,[ 12.2   10.    11.    15.     3.     5.     6.     3.75],-11.996666666666666,0.12425020833333333,25
2009-11-15 03:15:00,[ 2.  0.],12.17317674112476,[ 12.2  10.   11.   15.    3.   10.    6.    3.9],-11.264666666666667,0.12429595833333333,26
2009-11-15 03:20:00,[ 2.  0.],12.170586649284283,[ 12.2   10.    11.    15.     3.    15.     6.     3.99],-10.276466666666666,0.12435772083333334,27
2009-11-15 03:25:00,[ 2.  0.],12.167908008536301,[ 12.2    10.     11.     15.      3.     20.      6.      3.999],-10.177646666666666,0.12436389708333333,28
2009-11-15 03:30:00,[ 2.  0.],12.165196072174737,[ 12.2     10.      11.      15.       3.      25.       6.       3.9999],-10.167764666666665,0.12436451470833333,29
2009-11-15 03:35:00,[ 2.  0.],12.162456118652914,[ 13.61     10.       11.       15.        3.       30.        6.        3.99999],-11.341802766666667,0.12429113732708333,30
2009-11-15 03:40:00,[ 2.  0.],12.15976260739981,[ 13.61  10.    11.    15.     3.    35.     6.     4.  ],-11.341666666666667,0.12429114583333332,31
2009-11-15 03:45:00,[ 2.  0.],12.15704188037018,[ 13.61  10.    11.    15.     3.    40.     6.     4.  ],-11.341666666666667,0.12429114583333332,32
2009-11-15 03:50:00,[ 2.  0.],12.154293671249318,[ 13.61  10.    11.    15.     3.    45.     6.     4.  ],-11.341666666666667,0.12429114583333332,33
2009-11-15 03:55:00,[ 2.  0.],12.151517702440385,[ 13.61  10.    11.    15.     3.    50.     6.     4.  ],-11.341666666666667,0.12429114583333332,34
2009-11-15 04:00:00,[ 2.  0.],12.14871369354251,[ 13.61  10.    11.    15.     3.    55.     6.     4.  ],-11.341666666666667,0.12429114583333332,35
2009-11-15 04:05:00,[ 2.  0.],12.145881361322425,[ 12.44  10.    11.    15.     4.     0.     6.     4.  ],-10.366666666666667,0.12435208333333334,36
2009-11-15 04:10:00,[ 2.  0.],12.142958866655661,[ 12.44  10.    11.    15.     4.     5.     6.     4.  ],-10.366666666666667,0.12435208333333334,37
2009-11-15 04:15:00,[ 2.  0.],12.14000685184074,[ 12.44  10.    11.    15.     4.    10.     6.     4.  ],-10.366666666666667,0.12435208333333334,38
2009-11-15 04:20:00,[ 2.  0.],12.137025018694363,[ 12.44  10.    11.    15.     4.    15.     6.     4.  ],-10.366666666666667,0.12435208333333334,39
2009-11-15 04:25:00,[ 2.  0.],12.134013066021206,[ 12.44  10.    11.    15.     4.    20.     6.     4.  ],-10.366666666666667,0.12435208333333334,40
2009-11-15 04:30:00,[ 2.  0.],12.130970689583716,[ 12.44  10.    11.    15.     4.    25.     6.     4.  ],-10.366666666666667,0.12435208333333334,41
2009-11-15 04:35:00,[ 2.  0.],12.127897582071085,[ 11.58  10.    11.    15.     4.    30.     6.     4.  ],-9.65,0.12439687499999999,42
2009-11-15 04:40:00,[ 2.  0.],12.124748188960673,[ 11.58  10.    11.    15.     4.    35.     6.     4.  ],-9.65,0.12439687499999999,43
2009-11-15 04:45:00,[ 2.  0.],12.12156698379865,[ 11.58  10.    11.    15.     4.    40.     6.     4.  ],-9.65,0.12439687499999999,44
2009-11-15 04:50:00,[ 2.  0.],12.118353645251165,[ 11.58  10.    11.    15.     4.    45.     6.     4.  ],-9.65,0.12439687499999999,45
2009-11-15 04:55:00,[ 2.  0.],12.115107848738573,[ 11.58  10.    11.    15.     4.    50.     6.     4.  ],-9.65,0.12439687499999999,46
2009-11-15 05:00:00,[ 2.  0.],12.11182926640257,[ 11.58  10.    11.    15.     4.    55.     6.     4.  ],-9.65,0.12439687499999999,47
2009-11-15 05:05:00,[ 2.  0.],12.108517567073292,[ 10.32  10.    11.    15.     5.     0.     6.     4.  ],-8.600000000000001,0.1244625,48
2009-11-15 05:10:00,[ 2.  0.],12.105106128356871,[ 10.32  10.    11.    15.     5.     5.     6.     4.  ],-8.600000000000001,0.1244625,49
2009-11-15 05:15:00,[ 2.  0.],12.101660230663509,[ 10.32  10.    11.    15.     5.    10.     6.     4.  ],-8.600000000000001,0.1244625,50
2009-11-15 05:20:00,[ 2.  0.],12.098179525922705,[ 10.32  10.    11.    15.     5.    15.     6.     4.  ],-8.600000000000001,0.1244625,51
2009-11-15 05:25:00,[ 2.  0.],12.094663662548212,[ 10.32  10.    11.    15.     5.    20.     6.     4.  ],-8.600000000000001,0.1244625,52
2009-11-15 05:30:00,[ 2.  0.],12.091112285402254,[ 10.32  10.    11.    15.     5.    25.     6.     4.  ],-8.600000000000001,0.1244625,53
2009-11-15 05:35:00,[ 2.  0.],12.087525035759871,[ 10.44  10.    11.    15.     5.    30.     6.     4.  ],-8.7,0.12445624999999999,54
2009-11-15 05:40:00,[ 2.  0.],12.083907864403892,[ 10.44  10.    11.    15.     5.    35.     6.     4.  ],-8.7,0.12445624999999999,55
2009-11-15 05:45:00,[ 2.  0.],12.080254155963518,[ 10.44  10.    11.    15.     5.    40.     6.     4.  ],-8.7,0.12445624999999999,56
2009-11-15 05:50:00,[ 2.  0.],12.076563541377295,[ 10.44  10.    11.    15.     5.    45.     6.     4.  ],-8.7,0.12445624999999999,57
2009-11-15 05:55:00,[ 2.  0.],12.072835647855845,[ 10.44  10.    11.    15.     5.    50.     6.     4.  ],-8.7,0.12445624999999999,58
2009-11-15 06:00:00,[ 2.  0.],12.069070098844303,[ 10.44  10.    11.    15.     5.    55.     6.     4.  ],-8.7,0.12445624999999999,59
