episode,action,reward,loss
1,-213.98435917767702,-46211.138026497276,-70.96731567382812
2,-460.5779131627815,-78775.18254695006,-70.59468841552734
3,-706.1028565689741,-120215.07889269646,-90.65200805664062
4,-1124.3195945750354,-73673.9722321954,-88.3079833984375
5,-1451.828469415315,-101905.86918680154,-84.54010009765625
6,-1860.7977475505238,-88346.73830680724,-102.38125610351562
7,-2220.354300194571,-60107.758403280495,-112.06283569335938
8,-2609.776976922417,-93777.01123426786,-170.76962280273438
9,-2731.4726769503554,-138076.22096382896,-141.06759643554688
10,-3114.9151667161586,-88671.53893020941,-258.6402893066406
11,-3441.5838328937134,-40632.30457746554,-392.07769775390625
12,-3300.653220865237,-84235.40489044855,-320.9119873046875
13,-3347.0336205871454,-133047.1680027468,-977.7208862304688
14,-3202.7740441154388,-125396.66059345532,-2182.20703125
15,-3169.3459762858743,-82191.77462983562,
16,-3270.4042477522808,-57341.674799730295,-3590.366943359375
17,-3268.328616684537,-77792.33828797449,-14077.0263671875
18,-3205.4712170427597,-164802.75027795444,-3664.38720703125
19,-3305.245975063809,-81450.80010358892,-21706.615234375
