SETTLEMENTDATE,BAU_cost,RL_cost,action,electricity_demand,electricity_price,new_charge,next_observation,next_state,observation,rate,reward,state,steps
2018-01-01 00:00:00,23.0,18.0,-1,2.3,20.0,9.5,[ 20.           2.18802954],[ 20.           2.18802954   9.5       ],[ 20.    2.3],-1.0,-18.0,[ 20.    2.3  10. ],0
2018-01-01 00:30:00,21.88029537,16.88029537,-1,2.188029537,20.0,9.0,[ 20.          1.3432324],[ 20.          1.3432324   9.       ],[ 20.           2.18802954],-1.0,-16.88029537,[ 20.           2.18802954   9.5       ],1
2018-01-01 01:00:00,13.43232399,8.43232399,-1,1.3432323990000001,20.0,8.5,[ 20.           2.87777403],[ 20.           2.87777403   8.5       ],[ 20.          1.3432324],-1.0,-8.43232399,[ 20.          1.3432324   9.       ],2
2018-01-01 01:30:00,28.777740270000002,23.777740270000002,-1,2.877774027,20.0,8.0,[ 20.           2.64172202],[ 20.           2.64172202   8.        ],[ 20.           2.87777403],-1.0,-23.777740270000002,[ 20.           2.87777403   8.5       ],3
2018-01-01 02:00:00,26.4172202,21.4172202,-1,2.64172202,20.0,7.5,[ 20.           2.40841672],[ 20.           2.40841672   7.5       ],[ 20.           2.64172202],-1.0,-21.4172202,[ 20.           2.64172202   8.        ],4
2018-01-01 02:30:00,24.084167230000002,19.084167230000002,-1,2.408416723,20.0,7.0,[ 20.           1.75049857],[ 20.           1.75049857   7.        ],[ 20.           2.40841672],-1.0,-19.084167230000002,[ 20.           2.40841672   7.5       ],5
2018-01-01 03:00:00,17.50498571,12.504985709999998,-1,1.7504985709999998,20.0,6.5,[ 20.           1.88329273],[ 20.           1.88329273   6.5       ],[ 20.           1.75049857],-1.0,-12.504985709999998,[ 20.           1.75049857   7.        ],6
2018-01-01 03:30:00,18.83292725,13.832927250000001,-1,1.883292725,20.0,6.0,[ 20.           1.08046544],[ 20.           1.08046544   6.        ],[ 20.           1.88329273],-1.0,-13.832927250000001,[ 20.           1.88329273   6.5       ],7
2018-01-01 04:00:00,10.804654409999998,5.804654409999999,-1,1.0804654409999999,20.0,5.5,[ 20.           2.59997153],[ 20.           2.59997153   5.5       ],[ 20.           1.08046544],-1.0,-5.804654409999999,[ 20.           1.08046544   6.        ],8
2018-01-01 04:30:00,25.999715280000004,20.999715280000004,-1,2.599971528,20.0,5.0,[ 20.           2.36643288],[ 20.           2.36643288   5.        ],[ 20.           2.59997153],-1.0,-20.999715280000004,[ 20.           2.59997153   5.5       ],9
2018-01-01 05:00:00,23.664328830000002,18.664328830000002,-1,2.3664328830000003,20.0,4.5,[ 20.           2.47567197],[ 20.           2.47567197   4.5       ],[ 20.           2.36643288],-1.0,-18.664328830000002,[ 20.           2.36643288   5.        ],10
2018-01-01 05:30:00,24.756719710000002,19.756719710000002,-1,2.475671971,20.0,4.0,[ 20.           1.90901908],[ 20.           1.90901908   4.        ],[ 20.           2.47567197],-1.0,-19.756719710000002,[ 20.           2.47567197   4.5       ],11
2018-01-01 06:00:00,19.09019075,14.09019075,-1,1.909019075,20.0,3.5,[ 20.           2.59531708],[ 20.           2.59531708   3.5       ],[ 20.           1.90901908],-1.0,-14.09019075,[ 20.           1.90901908   4.        ],12
