,electricity_price_[$/MWh],electricity_demand_[MW],month,day,hour,minute,weekday
15/11/2009 01:05,24.27,10,11,15,1,5,6
15/11/2009 01:10,24.27,10,11,15,1,10,6
15/11/2009 01:15,24.27,10,11,15,1,15,6
15/11/2009 01:20,24.27,10,11,15,1,20,6
15/11/2009 01:25,24.27,10,11,15,1,25,6
15/11/2009 01:30,22.78,10,11,15,1,30,6
15/11/2009 01:35,22.78,10,11,15,1,35,6
15/11/2009 01:40,22.78,10,11,15,1,40,6
15/11/2009 01:45,22.78,10,11,15,1,45,6
15/11/2009 01:50,22.78,10,11,15,1,50,6
15/11/2009 01:55,22.78,10,11,15,1,55,6
15/11/2009 02:00,18.16,10,11,15,2,0,6
15/11/2009 02:05,18.16,10,11,15,2,5,6
15/11/2009 02:10,18.16,10,11,15,2,10,6
15/11/2009 02:15,18.16,10,11,15,2,15,6
15/11/2009 02:20,18.16,10,11,15,2,20,6
15/11/2009 02:25,18.16,10,11,15,2,25,6
15/11/2009 02:30,14.28,10,11,15,2,30,6
15/11/2009 02:35,14.28,10,11,15,2,35,6
15/11/2009 02:40,14.28,10,11,15,2,40,6
15/11/2009 02:45,14.28,10,11,15,2,45,6
15/11/2009 02:50,14.28,10,11,15,2,50,6
15/11/2009 02:55,14.28,10,11,15,2,55,6
15/11/2009 03:00,12.2,10,11,15,3,0,6
15/11/2009 03:05,12.2,10,11,15,3,5,6
15/11/2009 03:10,12.2,10,11,15,3,10,6
15/11/2009 03:15,12.2,10,11,15,3,15,6
15/11/2009 03:20,12.2,10,11,15,3,20,6
15/11/2009 03:25,12.2,10,11,15,3,25,6
15/11/2009 03:30,13.61,10,11,15,3,30,6
15/11/2009 03:35,13.61,10,11,15,3,35,6
15/11/2009 03:40,13.61,10,11,15,3,40,6
15/11/2009 03:45,13.61,10,11,15,3,45,6
15/11/2009 03:50,13.61,10,11,15,3,50,6
15/11/2009 03:55,13.61,10,11,15,3,55,6
15/11/2009 04:00,12.44,10,11,15,4,0,6
15/11/2009 04:05,12.44,10,11,15,4,5,6
15/11/2009 04:10,12.44,10,11,15,4,10,6
15/11/2009 04:15,12.44,10,11,15,4,15,6
15/11/2009 04:20,12.44,10,11,15,4,20,6
15/11/2009 04:25,12.44,10,11,15,4,25,6
15/11/2009 04:30,11.58,10,11,15,4,30,6
15/11/2009 04:35,11.58,10,11,15,4,35,6
15/11/2009 04:40,11.58,10,11,15,4,40,6
15/11/2009 04:45,11.58,10,11,15,4,45,6
15/11/2009 04:50,11.58,10,11,15,4,50,6
15/11/2009 04:55,11.58,10,11,15,4,55,6
15/11/2009 05:00,10.32,10,11,15,5,0,6
15/11/2009 05:05,10.32,10,11,15,5,5,6
15/11/2009 05:10,10.32,10,11,15,5,10,6
15/11/2009 05:15,10.32,10,11,15,5,15,6
15/11/2009 05:20,10.32,10,11,15,5,20,6
15/11/2009 05:25,10.32,10,11,15,5,25,6
15/11/2009 05:30,10.44,10,11,15,5,30,6
15/11/2009 05:35,10.44,10,11,15,5,35,6
15/11/2009 05:40,10.44,10,11,15,5,40,6
15/11/2009 05:45,10.44,10,11,15,5,45,6
15/11/2009 05:50,10.44,10,11,15,5,50,6
15/11/2009 05:55,10.44,10,11,15,5,55,6
15/11/2009 06:00,10.58,10,11,15,6,0,6
15/11/2009 06:05,10.58,10,11,15,6,5,6
15/11/2009 06:10,10.58,10,11,15,6,10,6
15/11/2009 06:15,10.58,10,11,15,6,15,6
15/11/2009 06:20,10.58,10,11,15,6,20,6
15/11/2009 06:25,10.58,10,11,15,6,25,6
15/11/2009 06:30,12.82,10,11,15,6,30,6
15/11/2009 06:35,12.82,10,11,15,6,35,6
15/11/2009 06:40,12.82,10,11,15,6,40,6
15/11/2009 06:45,12.82,10,11,15,6,45,6
15/11/2009 06:50,12.82,10,11,15,6,50,6
15/11/2009 06:55,12.82,10,11,15,6,55,6
15/11/2009 07:00,15.48,10,11,15,7,0,6
15/11/2009 07:05,15.48,10,11,15,7,5,6
15/11/2009 07:10,15.48,10,11,15,7,10,6
15/11/2009 07:15,15.48,10,11,15,7,15,6
15/11/2009 07:20,15.48,10,11,15,7,20,6
15/11/2009 07:25,15.48,10,11,15,7,25,6
15/11/2009 07:30,16.57,10,11,15,7,30,6
15/11/2009 07:35,16.57,10,11,15,7,35,6
15/11/2009 07:40,16.57,10,11,15,7,40,6
15/11/2009 07:45,16.57,10,11,15,7,45,6
15/11/2009 07:50,16.57,10,11,15,7,50,6
15/11/2009 07:55,16.57,10,11,15,7,55,6
15/11/2009 08:00,19.11,10,11,15,8,0,6
15/11/2009 08:05,19.11,10,11,15,8,5,6
15/11/2009 08:10,19.11,10,11,15,8,10,6
15/11/2009 08:15,19.11,10,11,15,8,15,6
15/11/2009 08:20,19.11,10,11,15,8,20,6
15/11/2009 08:25,19.11,10,11,15,8,25,6
15/11/2009 08:30,20.37,10,11,15,8,30,6
15/11/2009 08:35,20.37,10,11,15,8,35,6
15/11/2009 08:40,20.37,10,11,15,8,40,6
15/11/2009 08:45,20.37,10,11,15,8,45,6
15/11/2009 08:50,20.37,10,11,15,8,50,6
15/11/2009 08:55,20.37,10,11,15,8,55,6
15/11/2009 09:00,22.87,10,11,15,9,0,6
