index,Price [$/MWh]
8/02/17 0:00,43.82
8/02/17 0:05,43.82
8/02/17 0:10,43.82
8/02/17 0:15,43.82
8/02/17 0:20,43.82
8/02/17 0:25,43.82
8/02/17 0:30,150
8/02/17 0:35,150
8/02/17 0:40,150
8/02/17 0:45,150
8/02/17 0:50,150
8/02/17 0:55,150
8/02/17 1:00,46.17
8/02/17 1:05,46.17
8/02/17 1:10,46.17
8/02/17 1:15,46.17
8/02/17 1:20,46.17
8/02/17 1:25,46.17
8/02/17 1:30,43.56
8/02/17 1:35,43.56
8/02/17 1:40,43.56
8/02/17 1:45,43.56
8/02/17 1:50,43.56
8/02/17 1:55,43.56
8/02/17 2:00,43.98
8/02/17 2:05,43.98
8/02/17 2:10,43.98
8/02/17 2:15,43.98
8/02/17 2:20,43.98
8/02/17 2:25,43.98
8/02/17 2:30,40.99
8/02/17 2:35,40.99
8/02/17 2:40,40.99
8/02/17 2:45,40.99
8/02/17 2:50,40.99
8/02/17 2:55,40.99
8/02/17 3:00,37.72
8/02/17 3:05,37.72
8/02/17 3:10,37.72
8/02/17 3:15,37.72
8/02/17 3:20,37.72
8/02/17 3:25,37.72
8/02/17 3:30,42.13
8/02/17 3:35,42.13
8/02/17 3:40,42.13
8/02/17 3:45,42.13
8/02/17 3:50,42.13
8/02/17 3:55,42.13
8/02/17 4:00,40.61
8/02/17 4:05,40.61
8/02/17 4:10,40.61
8/02/17 4:15,40.61
8/02/17 4:20,40.61
8/02/17 4:25,40.61
8/02/17 4:30,52.51
8/02/17 4:35,52.51
8/02/17 4:40,52.51
8/02/17 4:45,52.51
8/02/17 4:50,52.51
8/02/17 4:55,52.51
8/02/17 5:00,65.79
8/02/17 5:05,65.79
8/02/17 5:10,65.79
8/02/17 5:15,65.79
8/02/17 5:20,65.79
8/02/17 5:25,65.79
8/02/17 5:30,56.85
8/02/17 5:35,56.85
8/02/17 5:40,56.85
8/02/17 5:45,56.85
8/02/17 5:50,56.85
8/02/17 5:55,56.85
8/02/17 6:00,72.05
8/02/17 6:05,72.05
8/02/17 6:10,72.05
8/02/17 6:15,72.05
8/02/17 6:20,72.05
8/02/17 6:25,72.05
8/02/17 6:30,131.89
8/02/17 6:35,131.89
8/02/17 6:40,131.89
8/02/17 6:45,131.89
8/02/17 6:50,131.89
8/02/17 6:55,131.89
8/02/17 7:00,71.5
8/02/17 7:05,71.5
8/02/17 7:10,71.5
8/02/17 7:15,71.5
8/02/17 7:20,71.5
8/02/17 7:25,71.5
8/02/17 7:30,95.27
8/02/17 7:35,95.27
8/02/17 7:40,95.27
8/02/17 7:45,95.27
8/02/17 7:50,95.27
8/02/17 7:55,95.27
8/02/17 8:00,115.93
8/02/17 8:05,115.93
8/02/17 8:10,115.93
8/02/17 8:15,115.93
8/02/17 8:20,115.93
8/02/17 8:25,115.93
8/02/17 8:30,110.33
8/02/17 8:35,110.33
8/02/17 8:40,110.33
8/02/17 8:45,110.33
8/02/17 8:50,110.33
8/02/17 8:55,110.33
8/02/17 9:00,125.77
8/02/17 9:05,125.77
8/02/17 9:10,125.77
8/02/17 9:15,125.77
8/02/17 9:20,125.77
8/02/17 9:25,125.77
8/02/17 9:30,122.39
8/02/17 9:35,122.39
8/02/17 9:40,122.39
8/02/17 9:45,122.39
8/02/17 9:50,122.39
8/02/17 9:55,122.39
8/02/17 10:00,115.84
8/02/17 10:05,115.84
8/02/17 10:10,115.84
8/02/17 10:15,115.84
8/02/17 10:20,115.84
8/02/17 10:25,115.84
8/02/17 10:30,118.39
8/02/17 10:35,118.39
8/02/17 10:40,118.39
8/02/17 10:45,118.39
8/02/17 10:50,118.39
8/02/17 10:55,118.39
8/02/17 11:00,130.28
8/02/17 11:05,130.28
8/02/17 11:10,130.28
8/02/17 11:15,130.28
8/02/17 11:20,130.28
8/02/17 11:25,130.28
8/02/17 11:30,152
8/02/17 11:35,152
8/02/17 11:40,152
8/02/17 11:45,152
8/02/17 11:50,152
8/02/17 11:55,152
8/02/17 12:00,163.67
8/02/17 12:05,163.67
8/02/17 12:10,163.67
8/02/17 12:15,163.67
8/02/17 12:20,163.67
8/02/17 12:25,163.67
8/02/17 12:30,185.01
8/02/17 12:35,185.01
8/02/17 12:40,185.01
8/02/17 12:45,185.01
8/02/17 12:50,185.01
8/02/17 12:55,185.01
8/02/17 13:00,245.97
8/02/17 13:05,245.97
8/02/17 13:10,245.97
8/02/17 13:15,245.97
8/02/17 13:20,245.97
8/02/17 13:25,245.97
8/02/17 13:30,375.65
8/02/17 13:35,375.65
8/02/17 13:40,375.65
8/02/17 13:45,375.65
8/02/17 13:50,375.65
8/02/17 13:55,375.65
8/02/17 14:00,220.48
8/02/17 14:05,220.48
8/02/17 14:10,220.48
8/02/17 14:15,220.48
8/02/17 14:20,220.48
8/02/17 14:25,220.48
8/02/17 14:30,308.33
8/02/17 14:35,308.33
8/02/17 14:40,308.33
8/02/17 14:45,308.33
8/02/17 14:50,308.33
8/02/17 14:55,308.33
8/02/17 15:00,2619.6
8/02/17 15:05,2619.6
8/02/17 15:10,2619.6
8/02/17 15:15,2619.6
8/02/17 15:20,2619.6
8/02/17 15:25,2619.6
8/02/17 15:30,437.64
8/02/17 15:35,437.64
8/02/17 15:40,437.64
8/02/17 15:45,437.64
8/02/17 15:50,437.64
8/02/17 15:55,437.64
8/02/17 16:00,443.97
8/02/17 16:05,443.97
8/02/17 16:10,443.97
8/02/17 16:15,443.97
8/02/17 16:20,443.97
8/02/17 16:25,443.97
8/02/17 16:30,2481.99
8/02/17 16:35,2481.99
8/02/17 16:40,2481.99
8/02/17 16:45,2481.99
8/02/17 16:50,2481.99
8/02/17 16:55,2481.99
8/02/17 17:00,11141.35
8/02/17 17:05,11141.35
8/02/17 17:10,11141.35
8/02/17 17:15,11141.35
