index,C_forecast_electricity_price_hh_0 [$/MWh],C_forecast_electricity_price_hh_1 [$/MWh],C_forecast_electricity_price_hh_2 [$/MWh],C_forecast_electricity_price_hh_3 [$/MWh],C_demand [MW]
2017-02-08 00:00:00,43.82,42.07,46.17,43.56,354.4424429949104
2017-02-08 00:05:00,43.82,42.07,46.17,43.56,506.51176833406214
2017-02-08 00:10:00,43.82,42.07,46.17,43.56,153.67633126597357
2017-02-08 00:15:00,43.82,42.07,46.17,43.56,293.57860788127005
2017-02-08 00:20:00,43.82,42.07,46.17,43.56,106.10716505375606
2017-02-08 00:25:00,43.82,42.07,46.17,43.56,366.06032557373055
2017-02-08 00:30:00,42.07,46.17,43.56,43.98,0.0
2017-02-08 00:35:00,42.07,46.17,43.56,43.98,246.85651235629575
2017-02-08 00:40:00,42.07,46.17,43.56,43.98,0.0
2017-02-08 00:45:00,42.07,46.17,43.56,43.98,0.0
2017-02-08 00:50:00,42.07,46.17,43.56,43.98,0.0
2017-02-08 00:55:00,42.07,46.17,43.56,43.98,404.9592011907378
2017-02-08 01:00:00,46.17,43.56,43.98,40.99,0.0
2017-02-08 01:05:00,46.17,43.56,43.98,40.99,226.88616984453145
2017-02-08 01:10:00,46.17,43.56,43.98,40.99,0.0
2017-02-08 01:15:00,46.17,43.56,43.98,40.99,0.0
2017-02-08 01:20:00,46.17,43.56,43.98,40.99,509.8509954629854
2017-02-08 01:25:00,46.17,43.56,43.98,40.99,354.3233121420361
2017-02-08 01:30:00,43.56,43.98,40.99,37.72,1734.8511444402234
2017-02-08 01:35:00,43.56,43.98,40.99,37.72,162.96952877387884
2017-02-08 01:40:00,43.56,43.98,40.99,37.72,17.774974360364602
2017-02-08 01:45:00,43.56,43.98,40.99,37.72,476.03261961225786
2017-02-08 01:50:00,43.56,43.98,40.99,37.72,0.0
2017-02-08 01:55:00,43.56,43.98,40.99,37.72,369.2537283977295
2017-02-08 02:00:00,43.98,40.99,37.72,42.13,0.0
2017-02-08 02:05:00,43.98,40.99,37.72,42.13,237.04585284485276
2017-02-08 02:10:00,43.98,40.99,37.72,42.13,152.13074785223003
2017-02-08 02:15:00,43.98,40.99,37.72,42.13,0.0
2017-02-08 02:20:00,43.98,40.99,37.72,42.13,0.0
2017-02-08 02:25:00,43.98,40.99,37.72,42.13,489.44202432274915
2017-02-08 02:30:00,40.99,37.72,42.13,40.61,32.10097157279591
2017-02-08 02:35:00,40.99,37.72,42.13,40.61,0.0
2017-02-08 02:40:00,40.99,37.72,42.13,40.61,0.0
2017-02-08 02:45:00,40.99,37.72,42.13,40.61,0.0
2017-02-08 02:50:00,40.99,37.72,42.13,40.61,0.0
2017-02-08 02:55:00,40.99,37.72,42.13,40.61,644.3919482898706
2017-02-08 03:00:00,37.72,42.13,40.61,52.51,0.0
2017-02-08 03:05:00,37.72,42.13,40.61,52.51,0.0
2017-02-08 03:10:00,37.72,42.13,40.61,52.51,203.3832148809504
2017-02-08 03:15:00,37.72,42.13,40.61,52.51,0.0
2017-02-08 03:20:00,37.72,42.13,40.61,52.51,0.0
2017-02-08 03:25:00,37.72,42.13,40.61,52.51,0.0
2017-02-08 03:30:00,42.13,40.61,52.51,65.79,0.0
2017-02-08 03:35:00,42.13,40.61,52.51,65.79,0.0
2017-02-08 03:40:00,42.13,40.61,52.51,65.79,0.0
2017-02-08 03:45:00,42.13,40.61,52.51,65.79,529.251978994432
2017-02-08 03:50:00,42.13,40.61,52.51,65.79,396.5362213213743
2017-02-08 03:55:00,42.13,40.61,52.51,65.79,381.6867133804454
2017-02-08 04:00:00,40.61,52.51,65.79,56.85,0.0
2017-02-08 04:05:00,40.61,52.51,65.79,56.85,1378.308751579004
2017-02-08 04:10:00,40.61,52.51,65.79,56.85,0.0
2017-02-08 04:15:00,40.61,52.51,65.79,56.85,265.8264346919043
2017-02-08 04:20:00,40.61,52.51,65.79,56.85,101.03855396192465
2017-02-08 04:25:00,40.61,52.51,65.79,56.85,0.0
2017-02-08 04:30:00,52.51,65.79,56.85,72.05,0.0
2017-02-08 04:35:00,52.51,65.79,56.85,72.05,79.50845407986071
2017-02-08 04:40:00,52.51,65.79,56.85,72.05,0.0
2017-02-08 04:45:00,52.51,65.79,56.85,72.05,0.0
2017-02-08 04:50:00,52.51,65.79,56.85,72.05,35.93518802186142
2017-02-08 04:55:00,52.51,65.79,56.85,72.05,0.0
2017-02-08 05:00:00,65.79,56.85,72.05,131.89,0.0
2017-02-08 05:05:00,65.79,56.85,72.05,131.89,0.0
2017-02-08 05:10:00,65.79,56.85,72.05,131.89,3177.9568002167603
2017-02-08 05:15:00,65.79,56.85,72.05,131.89,8.046672508562855
2017-02-08 05:20:00,65.79,56.85,72.05,131.89,574.1683838687927
2017-02-08 05:25:00,65.79,56.85,72.05,131.89,95.35932518689371
2017-02-08 05:30:00,56.85,72.05,131.89,71.5,569.5058767715731
2017-02-08 05:35:00,56.85,72.05,131.89,71.5,449.046495297354
2017-02-08 05:40:00,56.85,72.05,131.89,71.5,649.9628956134442
2017-02-08 05:45:00,56.85,72.05,131.89,71.5,0.0
2017-02-08 05:50:00,56.85,72.05,131.89,71.5,0.0
2017-02-08 05:55:00,56.85,72.05,131.89,71.5,0.0
2017-02-08 06:00:00,72.05,131.89,71.5,95.27,0.0
2017-02-08 06:05:00,72.05,131.89,71.5,95.27,0.0
2017-02-08 06:10:00,72.05,131.89,71.5,95.27,0.0
2017-02-08 06:15:00,72.05,131.89,71.5,95.27,1124.3099896389353
2017-02-08 06:20:00,72.05,131.89,71.5,95.27,0.0
2017-02-08 06:25:00,72.05,131.89,71.5,95.27,0.0
2017-02-08 06:30:00,131.89,71.5,95.27,115.93,1882.3150552098525
2017-02-08 06:35:00,131.89,71.5,95.27,115.93,188.40801722422887
2017-02-08 06:40:00,131.89,71.5,95.27,115.93,406.7774237581968
2017-02-08 06:45:00,131.89,71.5,95.27,115.93,1074.9065925051307
2017-02-08 06:50:00,131.89,71.5,95.27,115.93,669.3801935722789
2017-02-08 06:55:00,131.89,71.5,95.27,115.93,0.0
2017-02-08 07:00:00,71.5,95.27,115.93,110.33,1247.4572352336186
2017-02-08 07:05:00,71.5,95.27,115.93,110.33,2106.001933651084
2017-02-08 07:10:00,71.5,95.27,115.93,110.33,893.1299744920267
2017-02-08 07:15:00,71.5,95.27,115.93,110.33,0.0
2017-02-08 07:20:00,71.5,95.27,115.93,110.33,107.67210047431465
2017-02-08 07:25:00,71.5,95.27,115.93,110.33,161.518637744176
2017-02-08 07:30:00,95.27,115.93,110.33,125.77,0.0
2017-02-08 07:35:00,95.27,115.93,110.33,125.77,1301.2784052901911
2017-02-08 07:40:00,95.27,115.93,110.33,125.77,1958.206789425873
2017-02-08 07:45:00,95.27,115.93,110.33,125.77,80.19793521165512
2017-02-08 07:50:00,95.27,115.93,110.33,125.77,27.0677608416547
