index,C_electricity_price [$/MWh],C_demand [MW]
08/02/2017 00:00,43.82,0.000354442
08/02/2017 00:05,43.82,0.000506512
08/02/2017 00:10,43.82,0.000153676
08/02/2017 00:15,43.82,0.000293579
08/02/2017 00:20,43.82,0.000106107
08/02/2017 00:25,43.82,0.00036606
08/02/2017 00:30,150,0
08/02/2017 00:35,150,0.000246857
08/02/2017 00:40,150,0
08/02/2017 00:45,150,0
08/02/2017 00:50,150,0
08/02/2017 00:55,150,0.000404959
08/02/2017 01:00,46.17,0
08/02/2017 01:05,46.17,0.000226886
08/02/2017 01:10,46.17,0
08/02/2017 01:15,46.17,0
08/02/2017 01:20,46.17,0.000509851
08/02/2017 01:25,46.17,0.000354323
08/02/2017 01:30,43.56,0.001734851
08/02/2017 01:35,43.56,0.00016297
08/02/2017 01:40,43.56,1.78E-05
08/02/2017 01:45,43.56,0.000476033
08/02/2017 01:50,43.56,0
08/02/2017 01:55,43.56,0.000369254
08/02/2017 02:00,43.98,0
08/02/2017 02:05,43.98,0.000237046
08/02/2017 02:10,43.98,0.000152131
08/02/2017 02:15,43.98,0
08/02/2017 02:20,43.98,0
08/02/2017 02:25,43.98,0.000489442
08/02/2017 02:30,40.99,3.21E-05
08/02/2017 02:35,40.99,0
08/02/2017 02:40,40.99,0
08/02/2017 02:45,40.99,0
08/02/2017 02:50,40.99,0
08/02/2017 02:55,40.99,0.000644392
08/02/2017 03:00,37.72,0
08/02/2017 03:05,37.72,0
08/02/2017 03:10,37.72,0.000203383
08/02/2017 03:15,37.72,0
08/02/2017 03:20,37.72,0
08/02/2017 03:25,37.72,0
08/02/2017 03:30,42.13,0
08/02/2017 03:35,42.13,0
08/02/2017 03:40,42.13,0
08/02/2017 03:45,42.13,0.000529252
08/02/2017 03:50,42.13,0.000396536
08/02/2017 03:55,42.13,0.000381687
08/02/2017 04:00,40.61,0
08/02/2017 04:05,40.61,0.001378309
08/02/2017 04:10,40.61,0
08/02/2017 04:15,40.61,0.000265826
08/02/2017 04:20,40.61,0.000101039
08/02/2017 04:25,40.61,0
08/02/2017 04:30,52.51,0
08/02/2017 04:35,52.51,7.95E-05
08/02/2017 04:40,52.51,0
08/02/2017 04:45,52.51,0
08/02/2017 04:50,52.51,3.59E-05
08/02/2017 04:55,52.51,0
08/02/2017 05:00,65.79,0
08/02/2017 05:05,65.79,0
08/02/2017 05:10,65.79,0.003177957
08/02/2017 05:15,65.79,8.05E-06
08/02/2017 05:20,65.79,0.000574168
08/02/2017 05:25,65.79,9.54E-05
08/02/2017 05:30,56.85,0.000569506
08/02/2017 05:35,56.85,0.000449046
08/02/2017 05:40,56.85,0.000649963
08/02/2017 05:45,56.85,0
08/02/2017 05:50,56.85,0
08/02/2017 05:55,56.85,0
08/02/2017 06:00,72.05,0
08/02/2017 06:05,72.05,0
08/02/2017 06:10,72.05,0
08/02/2017 06:15,72.05,0.00112431
08/02/2017 06:20,72.05,0
08/02/2017 06:25,72.05,0
08/02/2017 06:30,131.89,0.001882315
08/02/2017 06:35,131.89,0.000188408
08/02/2017 06:40,131.89,0.000406777
08/02/2017 06:45,131.89,0.001074907
08/02/2017 06:50,131.89,0.00066938
08/02/2017 06:55,131.89,0
08/02/2017 07:00,71.5,0.001247457
08/02/2017 07:05,71.5,0.002106002
08/02/2017 07:10,71.5,0.00089313
08/02/2017 07:15,71.5,0
08/02/2017 07:20,71.5,0.000107672
08/02/2017 07:25,71.5,0.000161519
08/02/2017 07:30,95.27,0
08/02/2017 07:35,95.27,0.001301278
08/02/2017 07:40,95.27,0.001958207
08/02/2017 07:45,95.27,8.02E-05
08/02/2017 07:50,95.27,2.71E-05
08/02/2017 07:55,95.27,0
08/02/2017 08:00,115.93,0
08/02/2017 08:05,115.93,1.43E-05
08/02/2017 08:10,115.93,0.000371631
08/02/2017 08:15,115.93,0.000274094
08/02/2017 08:20,115.93,0.000205504
08/02/2017 08:25,115.93,0
08/02/2017 08:30,110.33,0
08/02/2017 08:35,110.33,0
08/02/2017 08:40,110.33,6.41E-05
08/02/2017 08:45,110.33,0.000161793
08/02/2017 08:50,110.33,0
08/02/2017 08:55,110.33,0
08/02/2017 09:00,125.77,8.01E-05
08/02/2017 09:05,125.77,0
08/02/2017 09:10,125.77,0
08/02/2017 09:15,125.77,0
08/02/2017 09:20,125.77,0
08/02/2017 09:25,125.77,0.000487187
08/02/2017 09:30,122.39,1.55E-05
08/02/2017 09:35,122.39,0.000217171
08/02/2017 09:40,122.39,0
08/02/2017 09:45,122.39,8.58E-05
08/02/2017 09:50,122.39,0
08/02/2017 09:55,122.39,0
08/02/2017 10:00,115.84,0
08/02/2017 10:05,115.84,0.000464032
08/02/2017 10:10,115.84,4.45E-05
08/02/2017 10:15,115.84,0
08/02/2017 10:20,115.84,0.000129049
08/02/2017 10:25,115.84,5.75E-05
08/02/2017 10:30,118.39,0
08/02/2017 10:35,118.39,0.000170595
08/02/2017 10:40,118.39,0
08/02/2017 10:45,118.39,0.000185946
08/02/2017 10:50,118.39,9.81E-05
08/02/2017 10:55,118.39,2.84E-05
08/02/2017 11:00,130.28,0.00032172
08/02/2017 11:05,130.28,0.00023134
08/02/2017 11:10,130.28,0
08/02/2017 11:15,130.28,0.00050248
08/02/2017 11:20,130.28,0.000774262
08/02/2017 11:25,130.28,0.000530362
08/02/2017 11:30,152,0.000549265
08/02/2017 11:35,152,0
08/02/2017 11:40,152,0
08/02/2017 11:45,152,0.000391505
08/02/2017 11:50,152,0.000740307
08/02/2017 11:55,152,0.000470048
08/02/2017 12:00,163.67,0.001523326
08/02/2017 12:05,163.67,0
08/02/2017 12:10,163.67,0.00051124
08/02/2017 12:15,163.67,0.001354957
08/02/2017 12:20,163.67,0.000300996
08/02/2017 12:25,163.67,8.47E-05
08/02/2017 12:30,185.01,0.000771485
08/02/2017 12:35,185.01,0.00045754
08/02/2017 12:40,185.01,0
08/02/2017 12:45,185.01,0.000951567
08/02/2017 12:50,185.01,0
08/02/2017 12:55,185.01,1.18E-05
08/02/2017 13:00,245.97,0
08/02/2017 13:05,245.97,0
08/02/2017 13:10,245.97,0.000981548
08/02/2017 13:15,245.97,0.000720124
08/02/2017 13:20,245.97,0
08/02/2017 13:25,245.97,0
08/02/2017 13:30,375.65,0
08/02/2017 13:35,375.65,0
08/02/2017 13:40,375.65,0
08/02/2017 13:45,375.65,0.00265221
08/02/2017 13:50,375.65,0.001062976
08/02/2017 13:55,375.65,0.000916907
08/02/2017 14:00,220.48,0.000414867
08/02/2017 14:05,220.48,0
