Index,Timestamp,Settlement period,HGH,LGH,Cooling,Electrical,Ambient temperature,Gas price,Import electricity price,Export electricity price
1,01/01/2018 00:00,1,18.7,8.36,0.79,7.11,4.9,15,29.6,26.64
2,01/01/2018 00:30,2,17.8,8.17,0.77,7.15,4.9,15,48.14,38.51
3,01/01/2018 01:00,3,21.2,8.21,0.77,7.03,4.9,15,49.02,39.22
4,01/01/2018 01:30,4,20.14,8.18,0.79,7.02,4.9,15,46,36.8
5,01/01/2018 02:00,5,20.98,7.71,0.78,7.02,4.9,15,48.5,43.65
6,01/01/2018 02:30,6,21.34,8.38,0.77,7.05,4.9,15,48.5,33.95
7,01/01/2018 03:00,7,25.54,8.49,0.79,7.09,4.8,15,59,41.3
8,01/01/2018 03:30,8,24.88,8.46,0.75,7.03,4.8,15,49.94,44.95
9,01/01/2018 04:00,9,26.1,8.7,0.73,7.05,4.7,15,54.24,37.97
10,01/01/2018 04:30,10,24.96,8.63,0.77,7.1,4.7,15,48.5,38.8
11,01/01/2018 05:00,11,29.48,8.65,0.76,7.13,4.5,15,41.93,37.74
12,01/01/2018 05:30,12,30,8.84,0.76,7.24,4.5,15,30.31,27.28
13,01/01/2018 06:00,13,32.26,9.22,0.77,7.28,4.7,15,30.07,21.05
14,01/01/2018 06:30,14,30.56,9.29,0.82,7.57,4.7,15,30.07,21.05
15,01/01/2018 07:00,15,36.3,9.89,0.82,7.55,4.6,15,30.2,27.18
16,01/01/2018 07:30,16,36.14,9.77,0.83,7.89,4.6,15,30.2,21.14
17,01/01/2018 08:00,17,37.5,9.83,0.82,8.04,4.5,15,29.6,23.68
18,01/01/2018 08:30,18,37.46,9.97,0.84,8.27,4.5,15,30.2,21.14
19,01/01/2018 09:00,19,39.46,10.46,0.8,8.23,5.4,15,30.31,21.22
20,01/01/2018 09:30,20,39.54,10.75,0.86,8.28,5.4,15,31.25,25
21,01/01/2018 10:00,21,35.46,10.49,0.79,8.32,6.4,15,46,36.8
22,01/01/2018 10:30,22,40.6,10.58,0.68,8.4,6.4,15,46,36.8
23,01/01/2018 11:00,23,40.68,9.84,0.75,8.47,7.2,15,31.25,21.88
24,01/01/2018 11:30,24,42.18,10.37,0.83,8.46,7.2,15,47.91,43.12
25,01/01/2018 12:00,25,39.4,10.24,0.91,8.49,7.5,15,48,33.6
26,01/01/2018 12:30,26,38.72,9.65,0.81,8.47,7.5,15,48.6,43.74
27,01/01/2018 13:00,27,37.82,9.81,0.99,8.47,7.5,15,48,33.6
28,01/01/2018 13:30,28,40.48,10.11,1.01,8.47,7.5,15,47.46,37.97
29,01/01/2018 14:00,29,38.14,10.85,0.92,8.29,7.6,15,31.25,21.88
30,01/01/2018 14:30,30,39.2,10.32,0.97,8.45,7.6,15,30.2,24.16
31,01/01/2018 15:00,31,37.14,9.9,0.98,8.47,8.6,15,30.2,21.14
32,01/01/2018 15:30,32,37.24,11.14,0.96,8.42,8.6,15,30.2,27.18
33,01/01/2018 16:00,33,37.6,10.28,0.94,8.52,9.8,15,30.2,27.18
34,01/01/2018 16:30,34,37.8,11.2,0.95,8.58,9.8,15,29.6,20.72
35,01/01/2018 17:00,35,35.68,9.53,0.96,8.51,10.5,15,30.01,27.01
36,01/01/2018 17:30,36,34.48,10.41,0.96,8.36,10.5,15,29.6,20.72
37,01/01/2018 18:00,37,31.3,9.04,0.94,8.17,10.9,15,29.95,20.97
38,01/01/2018 18:30,38,28.8,9.8,0.99,7.88,10.9,15,29.6,20.72
