,BAU_cost,RL_cost,action,electricity_demand,electricity_price,episode,net_stored,new_charge,next_observation,next_state,observation,old_charge,rate,reward,state,steps
0,48.6,48.6,-2,10.0,58.32,1,0,0,[ 58.32  10.     9.    16.     9.    10.     2.     0.  ],[ 58.32  10.     9.    16.     9.    10.     2.     0.  ],[ 58.32  10.     9.    16.     9.     0.     2.     0.  ],0,0.0,-48.6,[ 58.32  10.     9.    16.     9.     0.     2.     0.  ],1
1,48.6,48.6,-2,10.0,58.32,1,0,0,[ 58.32  10.     9.    16.     9.    15.     2.     0.  ],[ 58.32  10.     9.    16.     9.    15.     2.     0.  ],[ 58.32  10.     9.    16.     9.    10.     2.     0.  ],0,0.0,-48.6,[ 58.32  10.     9.    16.     9.    10.     2.     0.  ],2
2,48.6,48.6,-2,10.0,58.32,1,0,0,[ 58.32  10.     9.    16.     9.    20.     2.     0.  ],[ 58.32  10.     9.    16.     9.    20.     2.     0.  ],[ 58.32  10.     9.    16.     9.    15.     2.     0.  ],0,0.0,-48.6,[ 58.32  10.     9.    16.     9.    15.     2.     0.  ],3
3,48.6,48.6,-2,10.0,58.32,1,0,0,[ 58.32  10.     9.    16.     9.    25.     2.     0.  ],[ 58.32  10.     9.    16.     9.    25.     2.     0.  ],[ 58.32  10.     9.    16.     9.    20.     2.     0.  ],0,0.0,-48.6,[ 58.32  10.     9.    16.     9.    20.     2.     0.  ],4
4,48.6,48.6,-2,10.0,58.32,1,0,0,[ 54.99  10.     9.    16.     9.    30.     2.     0.  ],[ 54.99  10.     9.    16.     9.    30.     2.     0.  ],[ 58.32  10.     9.    16.     9.    25.     2.     0.  ],0,0.0,-48.6,[ 58.32  10.     9.    16.     9.    25.     2.     0.  ],5
5,45.825,45.825,-2,10.0,54.99,1,0,0,[ 54.99  10.     9.    16.     9.    35.     2.     0.  ],[ 54.99  10.     9.    16.     9.    35.     2.     0.  ],[ 54.99  10.     9.    16.     9.    30.     2.     0.  ],0,0.0,-45.825,[ 54.99  10.     9.    16.     9.    30.     2.     0.  ],6
6,45.825,45.825,-2,10.0,54.99,1,0,0,[ 54.99  10.     9.    16.     9.    40.     2.     0.  ],[ 54.99  10.     9.    16.     9.    40.     2.     0.  ],[ 54.99  10.     9.    16.     9.    35.     2.     0.  ],0,0.0,-45.825,[ 54.99  10.     9.    16.     9.    35.     2.     0.  ],7
7,45.825,45.825,-2,10.0,54.99,1,0,0,[ 54.99  10.     9.    16.     9.    45.     2.     0.  ],[ 54.99  10.     9.    16.     9.    45.     2.     0.  ],[ 54.99  10.     9.    16.     9.    40.     2.     0.  ],0,0.0,-45.825,[ 54.99  10.     9.    16.     9.    40.     2.     0.  ],8
8,45.825,45.825,-2,10.0,54.99,1,0,0,[ 54.99  10.     9.    16.     9.    50.     2.     0.  ],[ 54.99  10.     9.    16.     9.    50.     2.     0.  ],[ 54.99  10.     9.    16.     9.    45.     2.     0.  ],0,0.0,-45.825,[ 54.99  10.     9.    16.     9.    45.     2.     0.  ],9
9,45.825,45.825,-2,10.0,54.99,1,0,0,[ 54.99  10.     9.    16.     9.    55.     2.     0.  ],[ 54.99  10.     9.    16.     9.    55.     2.     0.  ],[ 54.99  10.     9.    16.     9.    50.     2.     0.  ],0,0.0,-45.825,[ 54.99  10.     9.    16.     9.    50.     2.     0.  ],10
10,45.825,45.825,-2,10.0,54.99,1,0,0,[ 49.  10.   9.  16.  10.   0.   2.   0.],[ 49.  10.   9.  16.  10.   0.   2.   0.],[ 54.99  10.     9.    16.     9.    55.     2.     0.  ],0,0.0,-45.825,[ 54.99  10.     9.    16.     9.    55.     2.     0.  ],11
11,40.833333333333336,48.18333333333334,2,10.0,49.0,1,0.150000,0.150000,[ 49.    10.     9.    16.    10.     5.     2.     0.15],[ 49.    10.     9.    16.    10.     5.     2.     0.15],[ 49.  10.   9.  16.  10.   0.   2.   0.],0,1.8,-48.18333333333334,[ 49.  10.   9.  16.  10.   0.   2.   0.],12
