SETTLEMENTDATE,BAU_cost,RL_cost,action,adjusted_demand,cooling_demand,demand_adjustment_hist,electricity_price,next_observation,next_state,observation,postcool_hist,precool_hist,relaxation_hist,reward,state,steps
2018-01-01 00:00:00,7.666666666666667,7.666666666666667,0,2.3,2.3,0.0,20.0,[ 20.           2.18802954],[ 20.           2.18802954],[ 20.    2.3],0.0,0.0,0,-7.666666666666667,[ 20.    2.3],0
2018-01-01 00:30:00,7.29343179,7.29343179,0,2.188029537,2.188029537,0.0,20.0,[ 20.          1.3432324],[ 20.          1.3432324],[ 20.           2.18802954],0.0,0.0,0,-7.29343179,[ 20.           2.18802954],1
2018-01-01 01:00:00,4.47744133,4.47744133,0,1.3432323990000001,1.3432323990000001,0.0,20.0,[ 20.           2.87777403],[ 20.           2.87777403],[ 20.          1.3432324],0.0,0.0,0,-4.47744133,[ 20.          1.3432324],2
2018-01-01 01:30:00,9.59258009,9.59258009,0,2.877774027,2.877774027,0.0,20.0,[ 20.           2.64172202],[ 20.           2.64172202],[ 20.           2.87777403],0.0,0.0,0,-9.59258009,[ 20.           2.87777403],3
2018-01-01 02:00:00,8.805740066666667,8.805740066666667,0,2.64172202,2.64172202,0.0,20.0,[ 20.           2.40841672],[ 20.           2.40841672],[ 20.           2.64172202],0.0,0.0,0,-8.805740066666667,[ 20.           2.64172202],4
2018-01-01 02:30:00,8.028055743333335,8.028055743333335,0,2.408416723,2.408416723,0.0,20.0,[ 20.           1.75049857],[ 20.           1.75049857],[ 20.           2.40841672],0.0,0.0,0,-8.028055743333335,[ 20.           2.40841672],5
2018-01-01 03:00:00,5.834995236666667,5.834995236666667,0,1.7504985709999998,1.7504985709999998,0.0,20.0,[ 20.           1.88329273],[ 20.           1.88329273],[ 20.           1.75049857],0.0,0.0,0,-5.834995236666667,[ 20.           1.75049857],6
2018-01-01 03:30:00,6.277642416666667,6.277642416666667,0,1.883292725,1.883292725,0.0,20.0,[ 20.           1.08046544],[ 20.           1.08046544],[ 20.           1.88329273],0.0,0.0,0,-6.277642416666667,[ 20.           1.88329273],7
2018-01-01 04:00:00,3.601551469999999,3.601551469999999,0,1.0804654409999999,1.0804654409999999,0.0,20.0,[ 20.           2.59997153],[ 20.           2.59997153],[ 20.           1.08046544],0.0,0.0,0,-3.601551469999999,[ 20.           1.08046544],8
2018-01-01 04:30:00,8.666571760000002,8.666571760000002,0,2.599971528,2.599971528,0.0,20.0,[ 20.           2.36643288],[ 20.           2.36643288],[ 20.           2.59997153],0.0,0.0,0,-8.666571760000002,[ 20.           2.59997153],9
2018-01-01 05:00:00,7.888109610000001,7.888109610000001,0,2.3664328830000003,2.3664328830000003,0.0,20.0,[ 20.           2.47567197],[ 20.           2.47567197],[ 20.           2.36643288],0.0,0.0,0,-7.888109610000001,[ 20.           2.36643288],10
2018-01-01 05:30:00,8.252239903333335,8.252239903333335,0,2.475671971,2.475671971,0.0,20.0,[ 20.           1.90901908],[ 20.           1.90901908],[ 20.           2.47567197],0.0,0.0,0,-8.252239903333335,[ 20.           2.47567197],11
2018-01-01 06:00:00,6.363396916666667,6.363396916666667,0,1.909019075,1.909019075,0.0,20.0,[ 20.           2.59531708],[ 20.           2.59531708],[ 20.           1.90901908],0.0,0.0,0,-6.363396916666667,[ 20.           1.90901908],12
2018-01-01 06:30:00,8.651056930000001,8.651056930000001,0,2.595317079,2.595317079,0.0,20.0,[ 20.           2.61556064],[ 20.           2.61556064],[ 20.           2.59531708],0.0,0.0,0,-8.651056930000001,[ 20.           2.59531708],13
2018-01-01 07:00:00,8.71853548,8.71853548,0,2.615560644,2.615560644,0.0,20.0,[ 20.           4.34140433],[ 20.           4.34140433],[ 20.           2.61556064],0.0,0.0,0,-8.71853548,[ 20.           2.61556064],14
2018-01-01 07:30:00,14.471347773333333,14.471347773333333,0,4.341404332,4.341404332,0.0,20.0,[ 20.           4.21791951],[ 20.           4.21791951],[ 20.           4.34140433],0.0,0.0,0,-14.471347773333333,[ 20.           4.34140433],15
2018-01-01 08:00:00,14.059731696666665,14.059731696666665,0,4.217919509,4.217919509,0.0,20.0,[ 20.           4.46090957],[ 20.           4.46090957],[ 20.           4.21791951],0.0,0.0,0,-14.059731696666665,[ 20.           4.21791951],16
2018-01-01 08:30:00,14.869698559999998,14.869698559999998,0,4.460909568,4.460909568,0.0,20.0,[ 20.           8.58618531],[ 20.           8.58618531],[ 20.           4.46090957],0.0,0.0,0,-14.869698559999998,[ 20.           4.46090957],17
2018-01-01 09:00:00,28.620617706666668,28.620617706666668,0,8.586185312000001,8.586185312000001,0.0,20.0,[ 20.           8.48778397],[ 20.           8.48778397],[ 20.           8.58618531],0.0,0.0,0,-28.620617706666668,[ 20.           8.58618531],18
2018-01-01 09:30:00,28.292613233333338,28.292613233333338,0,8.48778397,8.48778397,0.0,20.0,[ 20.          10.54483179],[ 20.          10.54483179],[ 20.           8.48778397],0.0,0.0,0,-28.292613233333338,[ 20.           8.48778397],19
2018-01-01 10:00:00,35.149439300000004,35.149439300000004,0,10.54483179,10.54483179,0.0,20.0,[ 20.           9.46534184],[ 20.           9.46534184],[ 20.          10.54483179],0.0,0.0,0,-35.149439300000004,[ 20.          10.54483179],20
2018-01-01 10:30:00,31.55113946333334,31.55113946333334,0,9.465341839,9.465341839,0.0,20.0,[ 20.           9.72932968],[ 20.           9.72932968],[ 20.           9.46534184],0.0,0.0,0,-31.55113946333334,[ 20.           9.46534184],21
2018-01-01 11:00:00,32.43109891666667,32.43109891666667,0,9.729329675,9.729329675,0.0,20.0,[ 20.          10.36215309],[ 20.          10.36215309],[ 20.           9.72932968],0.0,0.0,0,-32.43109891666667,[ 20.           9.72932968],22
2018-01-01 11:30:00,34.5405103,34.5405103,0,10.36215309,10.36215309,0.0,20.0,[ 20.         13.3789202],[ 20.         13.3789202],[ 20.          10.36215309],0.0,0.0,0,-34.5405103,[ 20.          10.36215309],23
2018-01-01 12:00:00,44.59640066666666,44.59640066666666,0,13.3789202,13.3789202,0.0,20.0,[ 20.          16.36818352],[ 20.          16.36818352],[ 20.         13.3789202],0.0,0.0,0,-44.59640066666666,[ 20.         13.3789202],24
2018-01-01 12:30:00,54.56061173333333,54.56061173333333,0,16.36818352,16.36818352,0.0,20.0,[ 20.          15.53972717],[ 20.          15.53972717],[ 20.          16.36818352],0.0,0.0,0,-54.56061173333333,[ 20.          16.36818352],25
2018-01-01 13:00:00,51.79909056666667,51.79909056666667,0,15.53972717,15.53972717,0.0,20.0,[ 20.          14.72200319],[ 20.          14.72200319],[ 20.          15.53972717],0.0,0.0,0,-51.79909056666667,[ 20.          15.53972717],26
2018-01-01 13:30:00,49.07334396666667,49.07334396666667,0,14.72200319,14.72200319,0.0,20.0,[ 50.          15.76861298],[ 50.          15.76861298],[ 20.          14.72200319],0.0,0.0,0,-49.07334396666667,[ 20.          14.72200319],27
2018-01-01 14:00:00,131.40510816666668,131.40510816666668,0,15.76861298,15.76861298,0.0,50.0,[ 50.          15.56266286],[ 50.          15.56266286],[ 50.          15.76861298],0.0,0.0,0,-131.40510816666668,[ 50.          15.76861298],28
2018-01-01 14:30:00,129.68885716666668,129.68885716666668,0,15.56266286,15.56266286,0.0,50.0,[ 50.          15.72211901],[ 50.          15.72211901],[ 50.          15.56266286],0.0,0.0,0,-129.68885716666668,[ 50.          15.56266286],29
2018-01-01 15:00:00,131.01765841666668,131.01765841666668,0,15.72211901,15.72211901,0.0,50.0,[ 50.          15.53028129],[ 50.          15.53028129],[ 50.          15.72211901],0.0,0.0,0,-131.01765841666668,[ 50.          15.72211901],30
2018-01-01 15:30:00,129.41901075,0.0,1,0.0,15.53028129,-15.53028129,50.0,[ 50.          15.57835495],[ 50.          15.57835495],[ 50.          15.53028129],0.0,-15.53028129,0,-0.0,[ 50.          15.53028129],31
2018-01-01 16:00:00,129.81962458333334,0.0,1,0.0,15.57835495,-15.57835495,50.0,[ 20.          15.65485239],[ 20.          15.65485239],[ 50.          15.57835495],0.0,-15.57835495,0,-0.0,[ 50.          15.57835495],32
2018-01-01 16:30:00,52.1828413,0.0,1,0.0,15.65485239,-15.65485239,20.0,[ 20.          13.68273824],[ 20.          13.68273824],[ 20.          15.65485239],0.0,-15.65485239,0,-0.0,[ 20.          15.65485239],33
2018-01-01 17:00:00,45.60912746666667,0.0,1,0.0,13.68273824,-13.68273824,20.0,[ 20.          13.53538602],[ 20.          13.53538602],[ 20.          13.68273824],0.0,-13.68273824,0,-0.0,[ 20.          13.68273824],34
2018-01-01 17:30:00,45.117953400000005,96.8855577,1,29.065667310000002,13.53538602,15.53028129,20.0,[ 20.          14.78127581],[ 20.          14.78127581],[ 20.          13.53538602],15.53028129,0.0,0,-96.8855577,[ 20.          13.53538602],35
2018-01-01 18:00:00,49.27091936666667,101.19876920000002,1,30.35963076,14.78127581,15.57835495,20.0,[ 20.          14.07584571],[ 20.          14.07584571],[ 20.          14.78127581],15.57835495,0.0,0,-101.19876920000002,[ 20.          14.78127581],36
2018-01-01 18:30:00,46.919485699999996,99.10232699999999,1,29.730698099999998,14.07584571,15.65485239,20.0,[ 20.          13.68745181],[ 20.          13.68745181],[ 20.          14.07584571],15.65485239,0.0,0,-99.10232699999999,[ 20.          14.07584571],37
2018-01-01 19:00:00,45.62483936666667,91.23396683333334,1,27.37019005,13.68745181,13.68273824,20.0,[ 20.          12.88311599],[ 20.          12.88311599],[ 20.          13.68745181],13.68273824,0.0,0,-91.23396683333334,[ 20.          13.68745181],38
2018-01-01 19:30:00,42.94371996666666,42.94371996666666,1,12.88311599,12.88311599,0.0,20.0,[ 20.          6.4476338],[ 20.          6.4476338],[ 20.          12.88311599],0.0,0.0,1,-42.94371996666666,[ 20.          12.88311599],39
2018-01-01 20:00:00,21.492112653333333,21.492112653333333,1,6.447633796,6.447633796,0.0,20.0,[ 20.           5.72687684],[ 20.           5.72687684],[ 20.          6.4476338],0.0,0.0,0,-21.492112653333333,[ 20.          6.4476338],40
2018-01-01 20:30:00,19.089589476666664,19.089589476666664,1,5.726876842999999,5.726876842999999,0.0,20.0,[ 20.           3.83640265],[ 20.           3.83640265],[ 20.           5.72687684],0.0,0.0,0,-19.089589476666664,[ 20.           5.72687684],41
2018-01-01 21:00:00,12.788008816666668,12.788008816666668,1,3.836402645,3.836402645,0.0,20.0,[ 20.          0.8892287],[ 20.          0.8892287],[ 20.           3.83640265],0.0,0.0,0,-12.788008816666668,[ 20.           3.83640265],42
2018-01-01 21:30:00,2.964095653333333,2.964095653333333,1,0.889228696,0.889228696,0.0,20.0,[ 20.           3.11669577],[ 20.           3.11669577],[ 20.          0.8892287],0.0,0.0,0,-2.964095653333333,[ 20.          0.8892287],43
2018-01-01 22:00:00,10.388985896666666,10.388985896666666,1,3.1166957689999997,3.1166957689999997,0.0,20.0,[ 20.           4.25086519],[ 20.           4.25086519],[ 20.           3.11669577],0.0,0.0,0,-10.388985896666666,[ 20.           3.11669577],44
2018-01-01 22:30:00,14.169550629999998,14.169550629999998,1,4.250865189,4.250865189,0.0,20.0,[ 20.          3.5542228],[ 20.          3.5542228],[ 20.           4.25086519],0.0,0.0,0,-14.169550629999998,[ 20.           4.25086519],45
2018-01-01 23:00:00,11.847409339999999,11.847409339999999,1,3.554222802,3.554222802,0.0,20.0,[ 20.           1.66932545],[ 20.           1.66932545],[ 20.          3.5542228],0.0,0.0,0,-11.847409339999999,[ 20.          3.5542228],46
2018-01-01 23:30:00,5.564418153333333,5.564418153333333,1,1.669325446,1.669325446,0.0,20.0,[ 20.           1.66932545],[ 20.           1.66932545],[ 20.           1.66932545],0.0,0.0,0,-5.564418153333333,[ 20.           1.66932545],47
